"",BBK01.OEAB21V,BBK01.OEAB21V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:07,
2002-01,7.625,
2002-04,8.055,
2002-07,7.850,
2002-10,8.913,
2003-01,8.305,
2003-04,8.483,
2003-07,8.784,
2003-10,9.176,
2004-01,9.089,
2004-04,9.358,
2004-07,9.495,
2004-10,9.540,
2005-01,9.791,
2005-04,9.712,
2005-07,9.830,
2005-10,9.731,
2006-01,9.538,
2006-04,9.310,
2006-07,9.321,
2006-10,9.354,
2007-01,9.230,
2007-04,9.079,
2007-07,8.946,
2007-10,8.990,
2008-01,8.063,
2008-04,5.716,
2008-07,6.073,
2008-10,6.158,
2009-01,5.553,
2009-04,5.721,
2009-07,5.812,
2009-10,5.731,
2010-01,5.777,
2010-04,5.941,
2010-07,6.605,
2010-10,6.789,
2011-01,6.783,
2011-04,6.718,
2011-07,6.645,
2011-10,6.734,
2012-01,6.585,
2012-04,6.819,
2012-07,6.912,
2012-10,6.920,
2013-01,6.720,
2013-04,6.765,
2013-07,6.785,
2013-10,6.574,
2014-01,6.581,
2014-04,6.210,
2014-07,6.006,
