"",BBEX3.A.STD.USD.CA.AC.A04,BBEX3.A.STD.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in Sao Tome and Principe / USD 1 = STD ... (middle),
unit,STD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:16:39,
1978,36.05161,
1979,35.01142,
1980,34.78630,
1981,38.56097,
1982,41.06824,
1983,42.43440,
1984,44.26972,
1985,44.46336,
1986,38.53678,
1987,56.26636,comment
1988,87.68583,comment
1989,126.26633,comment
1990,143.12929,
1991,203.15650,comment
1992,323.92588,
1993,435.20717,
1994,753.13806,
1995,1429.44010,
1996,2238.29760,
1997,4702.39316,
1998,6882.76965,
1999,7135.41667,
2000,8013.57625,
2001,8869.83208,
2002,9097.85750,
2003,9358.23792,
2004,9923.94833,
2005,10630.95792,
2006,12493.48833,
2007,13588.74833,
2008,14705.54583,
2009,16255.34042,
2010,18715.27417,
2011,17696.00625,
2012,19168.92458,
2013,18556.28333,
2014,18679.53542,
"","General: The unit of account for 1,000 dobras is 1 conto.",
"","Source: Since November 1993 Banco Central de São Tomé e Príncipe, São Tomé 1978 - October 1993 Banco Nacional de São Tomé e Príncipe, São Tomé",
"",Methodology: Calculated on the basis of month-end buying and selling rates.,
"","Comment on 1987: On 22 July 1987, the dobra was devalued. We recorded the following exchange rates (buying/selling rate): 21 July 1987 USD 1 = STD 36.1385 / 38.3739 22 July 1987 USD 1 = STD 75.8825 / 80.5763. Calculated using this exchange rates the dobra was devalued against the US dollar by 52.4%.",
"","Comment on 1988: On 22 July 1988, the dobra was devalued. We recorded the following exchange rates (buying/selling rate): 21 July 1988 USD 1 = STD 79.3480 / 81.7640 22 July 1988 USD 1 = STD 98.5040 / 101.5040. Calculated using this exchange rates the dobra was devalued against the US dollar by 19.4%.",
"","Comment on 1989: On 13 February 1989, the dobra was devalued. We recorded the following exchange rates (buying/selling rate): 10 February 1989 USD 1 = STD 99.1940 / 102.2160 13 February 1989 USD 1 = STD 118.2010 / 121.8010. Calculated using this exchange rates the dobra was devalued against the US dollar by 16.1%.",
"","Comment on 1991: On 16 May 1991, the dobra was devalued. We recorded the following exchange rates (buying/selling rate): 15 May 1991 USD 1 = STD 150.5180 / 155.1020 16 May 1991 USD 1 = STD 185.1540 / 188.8940. Calculated using this exchange rates the dobra was devalued against the US dollar by 18.3% (middle rate). On 2 September 1991, the dobra was devalued again. We recorded the following exchange rates (buying/selling rate): 31 August 1991 USD 1 = STD 182.5520 / 186.2400 2 September 1991 USD 1 = STD 257.4100 / 262.6100. Calculated using this exchange rates the dobra was devalued against the US dollar by 29.1%.",
