"",BBEX3.M.RWF.USD.CA.AA.A01,BBEX3.M.RWF.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Rwanda  / USD 1 = RWF ... (buying),
unit,RWF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:30,
1990-01,76.612400,
1990-02,77.191900,
1990-03,78.315300,
1990-04,78.094400,
1990-05,76.914900,
1990-06,76.898200,
1990-07,74.917100,
1990-08,73.480700,
1990-09,73.071400,
1990-10,71.000800,
1990-11,117.672400,comment
1990-12,119.908000,
1991-01,118.204400,
1991-02,119.503000,
1991-03,126.388400,
1991-04,127.728200,
1991-05,125.764100,
1991-06,128.920400,
1991-07,127.005500,
1991-08,126.621400,
1991-09,124.755700,
1991-10,124.052100,
1991-11,122.234200,
1991-12,118.593300,
1992-01,121.117000,
1992-02,122.618600,
1992-03,123.683500,
1992-04,123.564200,
1992-05,122.291700,
1992-06,138.806600,comment
1992-07,138.384200,
1992-08,134.831400,
1992-09,135.536500,
1992-10,141.793000,
1992-11,144.498200,
1992-12,144.807900,
1993-01,143.632800,
1993-02,144.322000,
1993-03,143.713300,
1993-04,140.386200,
1993-05,140.498300,
1993-06,142.907200,
1993-07,143.150000,
1993-08,141.478600,
1993-09,140.462900,
1993-10,143.336400,
1993-11,144.195600,
1993-12,144.901400,
1994-01,144.255100,
1994-02,142.850200,
1994-03,141.426600,
1994-04,140.893700,
1994-05,140.884900,
1994-06,137.442500,
1994-07,138.140800,
1994-08,137.536300,
1994-09,135.977100,
1994-10,133.922300,
1994-11,136.534300,
1994-12,136.952200,
1995-01,135.245700,
1995-02,133.287100,
1995-03,245.873200,comment
1995-04,251.495500,
1995-05,273.688900,
1995-06,288.932800,
1995-07,317.498200,
1995-08,313.091000,
1995-09,311.543500,
1995-10,302.495200,
1995-11,300.039300,
1995-12,295.453600,
1996-01,302.978500,
1996-02,300.037800,
1996-03,303.140300,
1996-04,301.241600,
1996-05,306.001100,
1996-06,307.262500,
1996-07,303.969200,
1996-08,304.815500,
1996-09,306.939000,
1996-10,305.589400,
1996-11,305.098300,
1996-12,303.730100,
1997-01,303.248500,
1997-02,298.982500,
1997-03,307.553200,
1997-04,304.760200,
1997-05,298.639400,
1997-06,297.855800,
1997-07,296.059400,
1997-08,298.453900,
1997-09,300.076200,
1997-10,298.888600,
1997-11,301.951800,
1997-12,301.710000,
1998-01,302.516400,
1998-02,306.992700,
1998-03,307.234000,
1998-04,307.150100,
1998-05,304.219800,
1998-06,308.227800,
1998-07,310.874900,
1998-08,313.828800,
1998-09,316.710000,
1998-10,318.140600,
1998-11,322.422900,
1998-12,315.475600,
1999-01,327.645500,
1999-02,328.568500,
1999-03,331.685000,
1999-04,333.171100,
1999-05,337.404600,
1999-06,334.324700,
1999-07,328.820700,
1999-08,332.358300,
1999-09,331.323500,
1999-10,332.695800,
1999-11,339.009100,
1999-12,346.034900,
2000-01,355.460700,
2000-02,359.820300,
2000-03,362.434700,
2000-04,367.742300,
2000-05,374.295900,
2000-06,384.643300,
2000-07,391.226400,
2000-08,405.355400,
2000-09,407.598200,
2000-10,412.605000,
2000-11,426.269600,
2000-12,428.333600,
2001-01,430.904400,
2001-02,431.739700,
2001-03,431.812300,
2001-04,436.391300,
2001-05,436.874700,
2001-06,439.879600,
2001-07,440.067600,
2001-08,440.615700,
2001-09,447.214900,
2001-10,451.890200,
2001-11,455.206300,
2001-12,455.614900,
2002-01,457.311100,
2002-02,459.383900,
2002-03,458.738800,
2002-04,461.347400,
2002-05,464.850600,
2002-06,467.492300,
2002-07,471.626200,
2002-08,482.196000,
2002-09,484.988500,
2002-10,488.905800,
2002-11,500.292400,
2002-12,509.294500,
2003-01,510.087600,
2003-02,510.101600,
2003-03,513.490800,
2003-04,519.942000,
2003-05,526.008500,
2003-06,533.569600,
2003-07,540.049100,
2003-08,549.481000,
2003-09,553.732800,
2003-10,558.955100,
2003-11,565.646953,
2003-12,577.378501,
2004-01,579.660135,
2004-02,578.882045,
2004-03,580.017042,
2004-04,578.117985,
2004-05,575.812072,
2004-06,576.555636,
2004-07,575.593570,
2004-08,574.098483,
2004-09,570.358378,
2004-10,567.408501,
2004-11,565.522976,
2004-12,564.025700,
2005-01,561.797995,
2005-02,560.585388,
2005-03,557.930828,
2005-04,556.687575,
2005-05,555.210000,
2005-06,553.764265,
2005-07,550.729615,
2005-08,552.744689,
2005-09,551.522331,
2005-10,551.077069,
2005-11,550.853791,
2005-12,550.950107,
2006-01,552.282611,
2006-02,551.243930,
2006-03,549.980181,
2006-04,549.667751,
2006-05,548.936525,
2006-06,549.248756,
2006-07,549.732923,
2006-08,548.764490,
2006-09,547.103271,
2006-10,547.949634,
2006-11,547.921277,
2006-12,545.909088,
2007-01,546.651765,
2007-02,544.454242,
2007-03,543.193794,
2007-04,542.824593,
2007-05,541.864985,
2007-06,544.579706,
2007-07,545.768390,
2007-08,544.568961,
2007-09,543.480857,
2007-10,542.584817,
2007-11,542.015387,
2007-12,540.954956,
2008-01,539.666740,
2008-02,540.960278,
2008-03,540.836028,
2008-04,540.339028,
2008-05,539.593528,
2008-06,540.339028,
2008-07,542.394882,
2008-08,545.510000,
2008-09,547.570000,
2008-10,548.880000,
2008-11,550.220000,
2008-12,555.540000,
2009-01,562.640000,
2009-02,563.980000,
2009-03,565.710000,
2009-04,564.660000,
2009-05,563.710000,
2009-06,565.240000,
2009-07,565.660000,
2009-08,564.700000,
2009-09,565.260000,
2009-10,565.890000,
2009-11,567.090000,
2009-12,567.810000,
2010-01,569.540000,
2010-02,568.960000,
2010-03,570.120000,
2010-04,572.920000,
2010-05,577.280000,
2010-06,585.050000,
2010-07,585.300000,
2010-08,583.670000,
2010-09,586.410000,
2010-10,587.000275,
2010-11,589.460983,
2010-12,590.883300,
2011-01,594.581908,
2011-02,593.712000,
2011-03,595.722883,
2011-04,596.927370,
2011-05,593.522039,
2011-06,597.597757,
2011-07,594.455603,
2011-08,595.075297,
2011-09,595.184756,
2011-10,597.061977,
2011-11,597.825569,
2011-12,599.307856,
2012-01,599.855854,
2012-02,600.907083,
2012-03,601.977740,
2012-04,603.260000,
2012-05,604.431534,
2012-06,607.525981,
2012-07,608.209912,
2012-08,609.572570,
2012-09,617.749524,
2012-10,622.156613,
2012-11,624.694823,
2012-12,626.355378,
2013-01,627.183841,
2013-02,629.087265,
2013-03,630.665503,
2013-04,633.925460,
2013-05,635.879515,
2013-06,637.528631,
2013-07,641.756593,
2013-08,643.651005,
2013-09,651.169171,
2013-10,655.384586,
2013-11,660.277287,
2013-12,663.711584,
2014-01,667.806874,
2014-02,668.941837,
2014-03,671.421326,
2014-04,672.976170,
2014-05,675.040186,
2014-06,676.055931,
2014-07,677.206831,
2014-08,677.648950,
2014-09,680.114582,
2014-10,682.625249,
2014-11,684.537365,
2014-12,687.499882,
2015-01,693.362984,
"","Source: Banque Nationale du Rwanda, Kigali",
"","Comment on 1990-11: On 12 November 1990, the Rwanda franc was devalued. We recorded the following exchange rates (buying/selling).  9 November 1990: USD 1 = RWF 70.6043 / 72.0307  12 November 1990: USD 1 = RWF 117.5109 / 119.8849 Calculated devaluation: 39.9%.",
"","Comment on 1992-06: On 10 June 1992, the Rwanda franc was devalued. We recorded the following exchange rates (buying/selling).  9 June 1992: USD 1 = RWF 120.7553 / 123.1949  10 June 1992: USD 1 = RWF 141.7068 / 144.5696 Calculated devaluation: 14.8%.",
"","Comment on 1995-03: On 6 March 1995, the Rwanda franc was devalued. We recorded the following exchange rates (buying/selling).  3 March 1995: USD 1 = RWF 133.2411 / 135.9329  6 March 1995: USD 1 = RWF 230,2600 / 233,7400  Calculated devaluation: 42.0%.",
