"",BBK01.CELEN0,BBK01.CELEN0_FLAGS
"",short-term loans                                              debtor: Rest of the world                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:12,
1999-01,50.4,
1999-04,10.3,
1999-07,9.2,
1999-10,12.7,
2000-01,9.6,
2000-04,27.8,
2000-07,-7.8,
2000-10,-18.7,
2001-01,83.9,
2001-04,-20.3,
2001-07,-5.6,
2001-10,-37.0,
2002-01,22.5,
2002-04,-15.6,
2002-07,26.7,
2002-10,-20.3,
2003-01,34.1,
2003-04,-20.0,
2003-07,12.5,
2003-10,7.8,
2004-01,38.7,
2004-04,-41.1,
2004-07,58.0,
2004-10,-16.9,
2005-01,12.7,
2005-04,-8.8,
2005-07,16.3,
2005-10,16.2,
2006-01,-14.4,
2006-04,0.2,
2006-07,36.3,
2006-10,-21.2,
2007-01,35.0,
2007-04,11.1,
2007-07,41.0,
2007-10,21.2,
2008-01,48.2,
2008-04,-10.1,
2008-07,11.4,
2008-10,-24.0,
2009-01,27.1,
2009-04,30.3,
2009-07,-15.3,
2009-10,-8.9,
2010-01,40.4,
2010-04,62.8,
2010-07,50.5,
2010-10,11.2,
2011-01,17.3,
2011-04,20.5,
2011-07,126.4,
2011-10,-25.6,
2012-01,178.4,
2012-04,106.2,
2012-07,-33.0,
2012-10,-41.7,
2013-01,-49.5,
2013-04,-13.1,
2013-07,-19.1,
2013-10,-70.3,
2014-01,-28.2,
2014-04,3.1,
2014-07,16.3,
