"",BBK01.OEAH39G,BBK01.OEAH39G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:20,
2002-01,0.609,
2002-04,0.620,
2002-07,0.643,
2002-10,0.626,
2003-01,0.616,
2003-04,0.683,
2003-07,0.658,
2003-10,0.631,
2004-01,0.665,
2004-04,0.652,
2004-07,0.639,
2004-10,0.634,
2005-01,0.675,
2005-04,0.658,
2005-07,0.786,
2005-10,0.785,
2006-01,0.786,
2006-04,0.762,
2006-07,0.696,
2006-10,0.664,
2007-01,0.630,
2007-04,0.575,
2007-07,0.546,
2007-10,0.542,
2008-01,0.532,
2008-04,0.516,
2008-07,0.521,
2008-10,0.530,
2009-01,0.591,
2009-04,0.687,
2009-07,0.775,
2009-10,0.854,
2010-01,0.938,
2010-04,0.995,
2010-07,1.026,
2010-10,1.053,
2011-01,1.099,
2011-04,1.093,
2011-07,1.148,
2011-10,1.056,
2012-01,1.072,
2012-04,1.137,
2012-07,1.199,
2012-10,1.166,
2013-01,1.199,
2013-04,1.337,
2013-07,1.388,
2013-10,1.296,
2014-01,1.275,
2014-04,1.304,
2014-07,1.353,
