"",BBK01.OEXK06V,BBK01.OEXK06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:36,
2002-01,0.012,
2002-04,0.013,
2002-07,0.012,
2002-10,0.013,
2003-01,0.012,
2003-04,0.005,
2003-07,0.005,
2003-10,0.004,
2004-01,0.004,
2004-04,0.003,
2004-07,0.003,
2004-10,0.003,
2005-01,0.003,
2005-04,0.003,
2005-07,0.004,
2005-10,0.003,
2006-01,0.004,
2006-04,0.005,
2006-07,0.006,
2006-10,0.006,
2007-01,0.007,
2007-04,0.007,
2007-07,0.007,
2007-10,0.009,
2008-01,0.012,
2008-04,0.014,
2008-07,0.016,
2008-10,0.017,
2009-01,0.018,
2009-04,0.016,
2009-07,0.014,
2009-10,0.012,
2010-01,0.012,
2010-04,0.015,
2010-07,0.016,
2010-10,0.017,
2011-01,0.019,
2011-04,0.022,
2011-07,0.023,
2011-10,0.023,
2012-01,0.022,
2012-04,0.021,
2012-07,0.022,
2012-10,0.021,
2013-01,0.018,
2013-04,0.014,
2013-07,0.013,
2013-10,0.013,
2014-01,0.013,
2014-04,0.004,
2014-07,0.003,
