"",BBK01.OEXI02P,BBK01.OEXI02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:37,
2002-01,0.382,
2002-04,0.390,
2002-07,0.377,
2002-10,0.435,
2003-01,0.441,
2003-04,0.393,
2003-07,0.308,
2003-10,0.353,
2004-01,0.322,
2004-04,0.340,
2004-07,0.403,
2004-10,0.484,
2005-01,0.396,
2005-04,0.409,
2005-07,0.433,
2005-10,0.403,
2006-01,0.422,
2006-04,0.423,
2006-07,0.374,
2006-10,0.425,
2007-01,0.360,
2007-04,0.373,
2007-07,0.400,
2007-10,0.426,
2008-01,0.358,
2008-04,0.359,
2008-07,0.403,
2008-10,0.417,
2009-01,0.362,
2009-04,0.417,
2009-07,0.446,
2009-10,0.495,
2010-01,0.544,
2010-04,0.811,
2010-07,0.712,
2010-10,0.792,
2011-01,0.742,
2011-04,0.786,
2011-07,0.753,
2011-10,0.776,
2012-01,0.825,
2012-04,0.776,
2012-07,0.729,
2012-10,0.845,
2013-01,0.845,
2013-04,0.795,
2013-07,0.832,
2013-10,0.853,
2014-01,0.838,
2014-04,0.832,
2014-07,0.806,
