"",BBK01.OEAD33K,BBK01.OEAD33K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:46,
2002-01,0.182,
2002-04,0.181,
2002-07,0.198,
2002-10,0.190,
2003-01,0.174,
2003-04,0.185,
2003-07,0.188,
2003-10,0.182,
2004-01,0.184,
2004-04,0.192,
2004-07,0.166,
2004-10,0.154,
2005-01,0.190,
2005-04,0.198,
2005-07,0.199,
2005-10,0.185,
2006-01,0.147,
2006-04,0.147,
2006-07,0.122,
2006-10,0.120,
2007-01,0.115,
2007-04,0.110,
2007-07,0.107,
2007-10,0.119,
2008-01,0.127,
2008-04,0.124,
2008-07,0.112,
2008-10,0.079,
2009-01,0.085,
2009-04,0.087,
2009-07,0.069,
2009-10,0.066,
2010-01,0.066,
2010-04,0.072,
2010-07,0.066,
2010-10,0.069,
2011-01,0.064,
2011-04,0.060,
2011-07,0.070,
2011-10,0.068,
2012-01,0.066,
2012-04,0.063,
2012-07,0.074,
2012-10,0.074,
2013-01,0.074,
2013-04,0.071,
2013-07,0.046,
2013-10,0.048,
2014-01,0.058,
2014-04,0.056,
2014-07,0.055,
