"",BBK01.CEBW06,BBK01.CEBW06_FLAGS
"",Claims from company pension commitments  debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:34,
1991-01,15.4,
1991-04,15.6,
1991-07,15.8,
1991-10,16.1,
1992-01,16.3,
1992-04,16.6,
1992-07,16.9,
1992-10,17.2,
1993-01,17.5,
1993-04,17.7,
1993-07,17.9,
1993-10,18.2,
1994-01,18.4,
1994-04,18.6,
1994-07,18.8,
1994-10,19.1,
1995-01,19.2,
1995-04,19.5,
1995-07,19.7,
1995-10,20.0,
1996-01,20.2,
1996-04,20.3,
1996-07,20.5,
1996-10,20.6,
1997-01,20.8,
1997-04,20.9,
1997-07,21.1,
1997-10,21.2,
1998-01,21.5,
1998-04,21.7,
1998-07,22.0,
1998-10,22.3,
1999-01,22.5,
1999-04,22.6,
1999-07,22.8,
1999-10,22.9,
2000-01,23.4,
2000-04,23.8,
2000-07,24.3,
2000-10,24.7,
2001-01,25.2,
2001-04,25.6,
2001-07,26.0,
2001-10,26.4,
2002-01,26.9,
2002-04,27.4,
2002-07,27.9,
2002-10,28.5,
2003-01,29.1,
2003-04,29.6,
2003-07,30.2,
2003-10,30.8,
2004-01,31.5,
2004-04,32.2,
2004-07,32.9,
2004-10,33.6,
2005-01,34.0,
2005-04,34.4,
2005-07,34.9,
2005-10,35.4,
2006-01,35.8,
2006-04,36.3,
2006-07,36.8,
2006-10,37.5,
2007-01,38.2,
2007-04,39.0,
2007-07,39.8,
2007-10,40.7,
2008-01,41.8,
2008-04,42.9,
2008-07,44.0,
2008-10,45.2,
2009-01,46.4,
2009-04,47.6,
2009-07,48.7,
2009-10,50.0,
2010-01,51.2,
2010-04,52.6,
2010-07,53.8,
2010-10,55.1,
2011-01,56.4,
2011-04,57.8,
2011-07,59.1,
2011-10,60.4,
2012-01,61.7,
2012-04,63.1,
2012-07,64.4,
2012-10,65.8,
2013-01,67.0,
2013-04,68.4,
2013-07,69.6,
2013-10,71.0,
2014-01,72.3,
