"",BBFN1.M.DE.N.1.L.KY.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.KY.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Cayman Islands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:13,
1994-12,0.370,
1995-01,0.410,
1995-02,0.453,
1995-03,0.461,
1995-04,0.481,
1995-05,0.447,
1995-06,0.393,
1995-07,0.378,
1995-08,0.374,
1995-09,0.359,
1995-10,0.345,
1995-11,0.337,
1995-12,0.366,
1996-01,0.309,
1996-02,0.273,
1996-03,0.215,
1996-04,0.341,
1996-05,0.278,
1996-06,0.273,
1996-07,0.327,
1996-08,0.254,
1996-09,0.297,
1996-10,0.239,
1996-11,0.218,
1996-12,0.223,
1997-01,0.191,
1997-02,0.226,
1997-03,0.197,
1997-04,0.145,
1997-05,0.205,
1997-06,0.116,
1997-07,0.100,
1997-08,0.107,
1997-09,0.102,
1997-10,0.088,
1997-11,0.093,
1997-12,0.086,
1998-01,0.097,
1998-02,0.114,
1998-03,0.122,
1998-04,0.120,
1998-05,0.129,
1998-06,0.126,
1998-07,0.123,
1998-08,0.186,
1998-09,0.166,
1998-10,0.118,
1998-11,0.124,
1998-12,0.126,
1999-01,0.124,
1999-02,0.126,
1999-03,0.140,
1999-04,0.187,
1999-05,0.257,
1999-06,0.180,
1999-07,0.168,
1999-08,0.175,
1999-09,0.160,
1999-10,7.131,
1999-11,3.831,
1999-12,0.356,
2000-01,0.362,
2000-02,0.335,
2000-03,0.412,
2000-04,0.390,
2000-05,0.473,
2000-06,0.587,
2000-07,0.967,
2000-08,1.245,
2000-09,1.250,
2000-10,1.357,
2000-11,1.155,
2000-12,0.767,
2001-01,0.544,
2001-02,0.928,
2001-03,1.050,
2001-04,0.932,
2001-05,1.524,
2001-06,3.700,
2001-07,3.618,
2001-08,3.408,
2001-09,3.713,
2001-10,4.113,
2001-11,0.438,
2001-12,0.438,
2002-01,0.372,
2002-02,0.394,
2002-03,0.730,
2002-04,0.440,
2002-05,0.473,
2002-06,0.411,
2002-07,0.740,
2002-08,0.712,
2002-09,0.707,
2002-10,0.380,
2002-11,0.389,
2002-12,0.402,
2003-01,0.535,
2003-02,0.372,
2003-03,0.584,
2003-04,0.694,
2003-05,0.591,
2003-06,0.470,
2003-07,1.296,
2003-08,1.039,
2003-09,1.268,
2003-10,1.210,
2003-11,1.037,
2003-12,1.008,
2004-01,0.955,
2004-02,0.959,
2004-03,1.372,
2004-04,1.234,
2004-05,1.022,
2004-06,1.008,
2004-07,0.932,
2004-08,1.026,
2004-09,1.049,
2004-10,0.928,
2004-11,1.014,
2004-12,1.137,
2005-01,0.758,
2005-02,0.806,
2005-03,0.901,
2005-04,0.811,
2005-05,0.837,
2005-06,0.733,
2005-07,0.646,
2005-08,0.723,
2005-09,0.807,
2005-10,0.742,
2005-11,0.867,
2005-12,0.728,
2006-01,0.664,
2006-02,0.711,
2006-03,0.809,
2006-04,0.701,
2006-05,0.734,
2006-06,0.903,
2006-07,0.867,
2006-08,0.932,
2006-09,1.047,
2006-10,1.435,
2006-11,1.537,
2006-12,1.935,
2007-01,1.875,
2007-02,1.947,
2007-03,2.123,
2007-04,1.829,
2007-05,1.739,
2007-06,1.711,
2007-07,1.674,
2007-08,1.946,
2007-09,1.909,
2007-10,1.911,
2007-11,2.239,
2007-12,1.873,
2008-01,1.743,
2008-02,1.881,
2008-03,1.993,
2008-04,2.002,
2008-05,2.044,
2008-06,2.079,
2008-07,2.153,
2008-08,2.015,
2008-09,2.058,
2008-10,2.144,
2008-11,2.125,
2008-12,2.205,
2009-01,2.208,
2009-02,2.642,
2009-03,2.614,
2009-04,2.804,
2009-05,2.807,
2009-06,2.747,
2009-07,2.801,
2009-08,2.908,
2009-09,2.858,
2009-10,2.868,
2009-11,2.911,
2009-12,2.659,
2010-01,2.605,
2010-02,2.625,
2010-03,2.474,
2010-04,2.436,
2010-05,2.303,
2010-06,2.411,
2010-07,2.402,
2010-08,2.475,
2010-09,2.606,
2010-10,2.630,
2010-11,2.804,
2010-12,3.018,
2011-01,3.081,
2011-02,3.201,
2011-03,3.086,
2011-04,3.429,
2011-05,3.491,
2011-06,3.699,
2011-07,3.789,
2011-08,3.939,
2011-09,4.105,
2011-10,3.994,
2011-11,5.318,
2011-12,5.258,
2012-01,3.633,
2012-02,4.946,
2012-03,4.646,
2012-04,4.562,
2012-05,4.616,
2012-06,4.765,
2012-07,4.983,
2012-08,5.020,
2012-09,5.189,
2012-10,5.393,
2012-11,5.442,
2012-12,4.831,
2013-01,4.947,
2013-02,4.987,
2013-03,4.724,
2013-04,4.615,
2013-05,4.470,
2013-06,4.787,
2013-07,4.660,
2013-08,5.001,
2013-09,5.075,
2013-10,4.791,
2013-11,5.171,
2013-12,5.059,
2014-01,5.112,
2014-02,4.965,
2014-03,5.171,
2014-04,4.758,
2014-05,4.889,
2014-06,5.120,
2014-07,4.906,
2014-08,5.283,
2014-09,4.792,
2014-10,4.488,
2014-11,4.524,
2014-12,4.734,
