"",BBK01.OELB12N,BBK01.OELB12N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:21,
2002-01,6.952,
2002-04,7.017,
2002-07,7.129,
2002-10,7.296,
2003-01,7.380,
2003-04,7.553,
2003-07,7.745,
2003-10,7.957,
2004-01,8.205,
2004-04,8.403,
2004-07,8.638,
2004-10,8.789,
2005-01,8.866,
2005-04,9.005,
2005-07,8.818,
2005-10,9.146,
2006-01,9.226,
2006-04,9.402,
2006-07,9.536,
2006-10,9.760,
2007-01,9.893,
2007-04,10.122,
2007-07,10.209,
2007-10,10.543,
2008-01,10.793,
2008-04,11.097,
2008-07,11.406,
2008-10,11.851,
2009-01,12.126,
2009-04,12.460,
2009-07,12.773,
2009-10,13.158,
2010-01,13.409,
2010-04,13.891,
2010-07,14.293,
2010-10,14.941,
2011-01,15.248,
2011-04,15.559,
2011-07,15.435,
2011-10,15.154,
2012-01,15.410,
2012-04,13.474,
2012-07,13.801,
2012-10,14.415,
2013-01,14.651,
2013-04,15.026,
2013-07,15.525,
2013-10,16.114,
2014-01,16.564,
2014-04,17.090,
2014-07,17.516,
