"",BBK01.OEAF35P,BBK01.OEAF35P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:19,
2002-01,2.025,
2002-04,2.012,
2002-07,2.039,
2002-10,2.050,
2003-01,2.065,
2003-04,2.050,
2003-07,2.029,
2003-10,2.018,
2004-01,2.641,
2004-04,2.544,
2004-07,2.568,
2004-10,2.527,
2005-01,2.481,
2005-04,2.458,
2005-07,2.466,
2005-10,2.450,
2006-01,2.469,
2006-04,2.483,
2006-07,2.484,
2006-10,2.464,
2007-01,2.463,
2007-04,2.444,
2007-07,2.465,
2007-10,2.443,
2008-01,2.404,
2008-04,2.366,
2008-07,2.312,
2008-10,2.273,
2009-01,2.274,
2009-04,2.280,
2009-07,2.249,
2009-10,2.492,
2010-01,2.186,
2010-04,2.226,
2010-07,2.228,
2010-10,2.216,
2011-01,2.190,
2011-04,2.192,
2011-07,2.190,
2011-10,2.196,
2012-01,2.188,
2012-04,2.213,
2012-07,2.189,
2012-10,2.085,
2013-01,2.052,
2013-04,2.050,
2013-07,2.079,
2013-10,2.054,
2014-01,2.063,
2014-04,2.069,
2014-07,2.059,
