"",BBK01.OEXB09M,BBK01.OEXB09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:48,
2002-01,8.621,
2002-04,8.581,
2002-07,8.271,
2002-10,8.465,
2003-01,8.546,
2003-04,8.815,
2003-07,8.559,
2003-10,8.500,
2004-01,8.634,
2004-04,8.968,
2004-07,8.839,
2004-10,8.101,
2005-01,8.325,
2005-04,6.764,
2005-07,6.659,
2005-10,6.757,
2006-01,7.110,
2006-04,6.966,
2006-07,6.997,
2006-10,7.009,
2007-01,7.145,
2007-04,7.580,
2007-07,7.319,
2007-10,7.824,
2008-01,8.296,
2008-04,8.317,
2008-07,8.066,
2008-10,9.533,
2009-01,9.758,
2009-04,9.695,
2009-07,8.205,
2009-10,8.522,
2010-01,8.345,
2010-04,7.817,
2010-07,8.049,
2010-10,8.710,
2011-01,8.638,
2011-04,8.897,
2011-07,8.961,
2011-10,9.286,
2012-01,9.481,
2012-04,9.852,
2012-07,10.037,
2012-10,10.044,
2013-01,10.125,
2013-04,10.423,
2013-07,10.496,
2013-10,9.914,
2014-01,9.714,
2014-04,9.910,
2014-07,10.778,
