"",BBK01.BJ9959,BBK01.BJ9959_FLAGS
"",General government debt as defined in the Maastricht Treaty as a % of GDP - Germany - overall,
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 16:34:18,
1991,39.0,
1992,41.5,
1993,45.0,
1994,47.3,
1995,54.6,
1996,57.4,
1997,58.6,
1998,59.3,
1999,59.9,
2000,58.7,
2001,57.5,
2002,59.2,
2003,62.9,
2004,64.6,
2005,66.8,
2006,66.3,
2007,63.5,
2008,64.9,
2009,72.4,
2010,80.3,Provisional value
2011,77.6,Provisional value
2012,79.0,Provisional value
2013,76.9,Provisional value
