"",BBK01.CEB3CQ,BBK01.CEB3CQ_FLAGS
"",Securities other than shares debtor: General government (consolidated)                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:23:18,
1991-01,271.9,
1991-04,277.9,
1991-07,284.3,
1991-10,298.3,
1992-01,316.4,
1992-04,321.0,
1992-07,341.2,
1992-10,386.1,
1993-01,416.1,
1993-04,425.4,
1993-07,448.8,
1993-10,475.1,
1994-01,487.1,
1994-04,473.7,
1994-07,475.0,
1994-10,483.7,
1995-01,576.0,
1995-04,589.6,
1995-07,600.9,
1995-10,617.8,
1996-01,611.3,
1996-04,619.0,
1996-07,638.4,
1996-10,655.8,
1997-01,668.7,
1997-04,686.5,
1997-07,682.6,
1997-10,691.1,
1998-01,709.7,
1998-04,715.4,
1998-07,735.3,
1998-10,749.7,
1999-01,755.8,
1999-04,746.4,
1999-07,736.8,
1999-10,742.4,
2000-01,745.1,
2000-04,750.5,
2000-07,750.4,
2000-10,775.1,
2001-01,763.2,
2001-04,760.6,
2001-07,784.4,
2001-10,805.3,
2002-01,803.4,
2002-04,830.2,
2002-07,879.4,
2002-10,885.0,
2003-01,930.6,
2003-04,956.5,
2003-07,937.9,
2003-10,950.4,
2004-01,1001.9,
2004-04,997.4,
2004-07,1025.6,
2004-10,1048.7,
2005-01,1061.3,
2005-04,1110.9,
2005-07,1126.8,
2005-10,1126.4,
2006-01,1120.1,
2006-04,1121.1,
2006-07,1142.8,
2006-10,1151.1,
2007-01,1138.8,
2007-04,1124.3,
2007-07,1127.1,
2007-10,1152.6,
2008-01,1166.2,
2008-04,1158.4,
2008-07,1185.4,
2008-10,1255.6,
2009-01,1289.3,
2009-04,1333.0,
2009-07,1347.6,
2009-10,1368.9,
2010-01,1402.6,
2010-04,1458.0,
2010-07,1497.2,
2010-10,1482.4,
2011-01,1475.0,
2011-04,1523.6,
2011-07,1616.2,
2011-10,1608.8,
2012-01,1653.6,
2012-04,1721.4,
2012-07,1718.0,
2012-10,1742.3,
2013-01,1742.0,
2013-04,1712.1,
2013-07,1673.9,
2013-10,1683.0,
2014-01,1712.4,
