"",BBK01.OEAK04N,BBK01.OEAK04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:25,
2002-01,7.845,
2002-04,7.726,
2002-07,7.843,
2002-10,7.984,
2003-01,7.839,
2003-04,7.542,
2003-07,7.264,
2003-10,7.081,
2004-01,6.834,
2004-04,6.527,
2004-07,6.381,
2004-10,6.376,
2005-01,6.329,
2005-04,6.002,
2005-07,6.051,
2005-10,6.264,
2006-01,6.465,
2006-04,6.804,
2006-07,7.109,
2006-10,7.327,
2007-01,7.676,
2007-04,8.009,
2007-07,8.915,
2007-10,9.685,
2008-01,9.907,
2008-04,10.385,
2008-07,10.930,
2008-10,11.354,
2009-01,8.914,
2009-04,7.323,
2009-07,6.066,
2009-10,5.291,
2010-01,4.817,
2010-04,4.363,
2010-07,4.175,
2010-10,4.253,
2011-01,4.673,
2011-04,5.066,
2011-07,5.658,
2011-10,5.972,
2012-01,5.543,
2012-04,5.168,
2012-07,4.815,
2012-10,4.526,
2013-01,4.414,
2013-04,4.225,
2013-07,3.998,
2013-10,3.925,
2014-01,4.024,
2014-04,4.089,
2014-07,4.023,
