"",BBK01.QUX030,BBK01.QUX030_FLAGS
"",All foreign subsidiaries: Short-term loans and advances to non-residents / Portugal / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:16:12,
2001-12,1.579,
2002-01,1.505,
2002-02,1.251,
2002-03,1.238,
2002-04,1.630,
2002-05,1.226,
2002-06,1.190,
2002-07,1.886,
2002-08,1.335,
2002-09,1.519,
2002-10,1.360,
2002-11,1.878,
2002-12,1.531,
2003-01,1.702,
2003-02,1.498,
2003-03,0.997,
2003-04,1.192,
2003-05,1.229,
2003-06,1.372,
2003-07,1.245,
2003-08,1.071,
2003-09,1.264,
2003-10,0.954,
2003-11,1.053,
2003-12,1.030,
2004-01,4.204,
2004-02,0.921,
2004-03,0.913,
2004-04,0.891,
2004-05,0.909,
2004-06,1.033,
2004-07,1.191,
2004-08,1.030,
2004-09,0.890,
2004-10,0.884,
2004-11,0.995,
2004-12,1.001,
2005-01,0.869,
2005-02,0.862,
2005-03,0.939,
2005-04,0.877,
2005-05,1.108,
2005-06,0.821,
2005-07,0.778,
2005-08,0.666,
2005-09,0.713,
2005-10,0.772,
2005-11,0.591,
2005-12,0.618,
2006-01,0.885,
2006-02,0.797,
2006-03,0.705,
2006-04,0.868,
2006-05,0.813,
2006-06,0.588,
2006-07,0.662,
2006-08,0.626,
2006-09,0.934,
2006-10,0.826,
2006-11,0.703,
2006-12,0.861,
2007-01,0.878,
2007-02,0.655,
2007-03,1.007,
2007-04,0.949,
2007-05,1.505,
2007-06,1.049,
2007-07,0.616,
2007-08,0.822,
2007-09,0.812,
2007-10,0.772,
2007-11,0.688,
2007-12,0.654,
2008-01,0.681,
2008-02,0.632,
2008-03,0.594,
2008-04,0.698,
2008-05,0.704,
2008-06,0.695,
2008-07,0.775,
2008-08,0.688,
2008-09,0.772,
2008-10,0.799,
2008-11,0.653,
2008-12,0.591,
2009-01,0.600,
2009-02,0.473,
2009-03,0.529,
2009-04,0.470,
2009-05,0.471,
2009-06,0.614,
2009-07,0.447,
2009-08,0.564,
2009-09,0.524,
2009-10,0.586,
2009-11,0.771,
2009-12,0.510,
2010-01,0.529,
2010-02,0.658,
2010-03,0.544,
2010-04,0.592,
2010-05,0.528,
2010-06,0.819,
2010-07,0.621,
2010-08,0.505,
2010-09,0.524,
2010-10,0.470,
2010-11,0.487,
2010-12,0.456,
2011-01,0.459,
2011-02,0.483,
2011-03,0.445,
2011-04,0.538,
2011-05,0.585,
2011-06,0.597,
2011-07,0.569,
2011-08,0.158,
2011-09,0.141,
2011-10,0.396,
2011-11,0.407,
2011-12,0.344,
2012-01,0.315,
2012-02,0.339,
2012-03,0.268,
2012-04,0.227,
2012-05,0.383,
2012-06,0.382,
2012-07,0.337,
2012-08,0.337,
2012-09,0.337,
2012-10,0.270,
2012-11,0.268,
2012-12,0.181,
2013-01,0.185,
2013-02,0.255,
2013-03,0.184,
2013-04,0.270,
2013-05,0.267,
2013-06,0.330,
2013-07,0.331,
2013-08,0.357,
2013-09,0.364,
2013-10,0.161,
2013-11,0.136,
2013-12,0.231,
2014-01,0.233,
2014-02,0.099,
2014-03,0.104,
2014-04,0.100,
2014-05,0.095,
2014-06,0.096,
2014-07,0.091,
2014-08,0.087,
2014-09,0.085,
2014-10,0.080,
2014-11,0.076,
