"",BBFB1.Q.N.DE.IT.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:49,
1991-01,168.705,
1991-04,159.569,
1991-07,169.839,
1991-10,184.945,
1992-01,369.895,
1992-04,392.584,
1992-07,396.657,
1992-10,432.264,
1993-01,97.304,
1993-04,99.406,
1993-07,101.012,
1993-10,114.487,
1994-01,144.962,
1994-04,148.899,
1994-07,155.950,
1994-10,153.649,
1995-01,185.766,
1995-04,184.350,
1995-07,186.121,
1995-10,189.466,
1996-01,162.898,
1996-04,175.723,
1996-07,182.729,
1996-10,177.217,
1997-01,203.098,
1997-04,213.626,
1997-07,215.126,
1997-10,237.566,
1998-01,321.113,
1998-04,336.345,
1998-07,347.194,
1998-10,378.765,
1999-01,1163.181,
1999-04,1280.937,
1999-07,1306.420,
1999-10,1326.189,
2000-01,190.099,
2000-04,212.206,
2000-07,209.896,
2000-10,219.880,
2001-01,1424.078,
2001-04,1569.489,
2001-07,1561.854,
2001-10,1506.905,
2002-01,535.382,
2002-04,520.720,
2002-07,510.991,
2002-10,570.176,
2003-01,979.100,
2003-04,1059.424,
2003-07,1018.293,
2003-10,947.440,
2004-01,654.638,
2004-04,595.002,
2004-07,551.510,
2004-10,566.061,
2005-01,340.433,
2005-04,370.097,
2005-07,344.958,
2005-10,347.937,
2006-01,591.562,
2006-04,656.879,
2006-07,550.404,
2006-10,541.677,
2007-01,461.805,
2007-04,617.448,
2007-07,491.246,
2007-10,514.385,
2008-01,466.126,
2008-04,481.710,
2008-07,522.104,
2008-10,410.685,
2009-01,97.417,
2009-04,140.435,
2009-07,115.741,
2009-10,100.482,
2010-01,206.402,
2010-04,288.000,
2010-07,273.284,
2010-10,256.459,
2011-01,331.666,
2011-04,405.804,
2011-07,361.262,
2011-10,374.216,
2012-01,440.729,
2012-04,495.532,
2012-07,425.179,
2012-10,441.513,
2013-01,285.127,
2013-04,253.978,
2013-07,231.649,
2013-10,249.137,
2014-01,328.919,Provisional value
2014-04,366.654,Provisional value
2014-07,293.874,Provisional value
