"",BBK01.OEAA53N,BBK01.OEAA53N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:23,
2002-01,18.088,
2002-04,18.289,
2002-07,18.682,
2002-10,19.776,
2003-01,18.475,
2003-04,19.672,
2003-07,19.986,
2003-10,17.949,
2004-01,17.204,
2004-04,17.497,
2004-07,16.620,
2004-10,12.262,
2005-01,16.398,
2005-04,16.652,
2005-07,18.971,
2005-10,19.872,
2006-01,20.286,
2006-04,22.620,
2006-07,24.627,
2006-10,22.349,
2007-01,22.758,
2007-04,23.810,
2007-07,25.320,
2007-10,24.820,
2008-01,26.108,
2008-04,27.844,
2008-07,27.538,
2008-10,29.327,
2009-01,28.843,
2009-04,28.175,
2009-07,28.111,
2009-10,27.869,
2010-01,27.901,
2010-04,23.854,
2010-07,23.436,
2010-10,22.889,
2011-01,21.796,
2011-04,21.147,
2011-07,21.175,
2011-10,21.115,
2012-01,19.709,
2012-04,19.782,
2012-07,19.299,
2012-10,16.945,
2013-01,16.426,
2013-04,15.991,
2013-07,15.521,
2013-10,14.833,
2014-01,14.709,
2014-04,14.389,
2014-07,14.407,
