"",BBK01.OECB03L,BBK01.OECB03L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:25,
2002-01,5.852,
2002-04,5.873,
2002-07,6.125,
2002-10,6.136,
2003-01,11.028,
2003-04,10.861,
2003-07,10.136,
2003-10,10.233,
2004-01,10.179,
2004-04,10.066,
2004-07,9.854,
2004-10,9.108,
2005-01,9.842,
2005-04,11.077,
2005-07,10.676,
2005-10,12.197,
2006-01,11.922,
2006-04,11.722,
2006-07,12.054,
2006-10,10.226,
2007-01,13.081,
2007-04,16.762,
2007-07,16.678,
2007-10,16.152,
2008-01,16.386,
2008-04,15.710,
2008-07,17.118,
2008-10,16.097,
2009-01,12.703,
2009-04,13.212,
2009-07,11.420,
2009-10,10.640,
2010-01,8.097,
2010-04,8.676,
2010-07,10.138,
2010-10,11.170,
2011-01,10.638,
2011-04,9.905,
2011-07,10.254,
2011-10,9.846,
2012-01,9.577,
2012-04,9.750,
2012-07,10.162,
2012-10,11.311,
2013-01,11.459,
2013-04,11.108,
2013-07,10.827,
2013-10,9.259,
2014-01,8.934,
2014-04,9.135,
2014-07,9.994,
