"",BBK01.OEBI03N,BBK01.OEBI03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:27,
2002-01,44.170,
2002-04,43.542,
2002-07,43.553,
2002-10,44.329,
2003-01,42.161,
2003-04,41.592,
2003-07,38.926,
2003-10,38.572,
2004-01,36.330,
2004-04,34.816,
2004-07,35.674,
2004-10,20.457,
2005-01,27.081,
2005-04,26.667,
2005-07,24.262,
2005-10,24.537,
2006-01,26.392,
2006-04,30.283,
2006-07,31.277,
2006-10,31.199,
2007-01,32.749,
2007-04,34.675,
2007-07,42.463,
2007-10,45.670,
2008-01,48.783,
2008-04,50.690,
2008-07,52.068,
2008-10,63.820,
2009-01,54.888,
2009-04,50.606,
2009-07,55.119,
2009-10,48.910,
2010-01,47.518,
2010-04,55.001,
2010-07,47.035,
2010-10,53.447,
2011-01,49.993,
2011-04,55.857,
2011-07,54.044,
2011-10,59.436,
2012-01,53.126,
2012-04,57.592,
2012-07,54.943,
2012-10,50.815,
2013-01,51.132,
2013-04,48.263,
2013-07,46.911,
2013-10,45.184,
2014-01,47.302,
2014-04,46.591,
2014-07,46.298,
