"",BBK01.OEXK04Q,BBK01.OEXK04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:21,
2002-01,0.241,
2002-04,0.241,
2002-07,0.254,
2002-10,0.249,
2003-01,0.227,
2003-04,0.204,
2003-07,0.196,
2003-10,0.212,
2004-01,0.250,
2004-04,0.232,
2004-07,0.269,
2004-10,0.135,
2005-01,0.122,
2005-04,0.121,
2005-07,0.130,
2005-10,0.156,
2006-01,0.180,
2006-04,0.231,
2006-07,0.273,
2006-10,0.292,
2007-01,0.306,
2007-04,0.327,
2007-07,0.347,
2007-10,0.364,
2008-01,0.370,
2008-04,0.364,
2008-07,0.397,
2008-10,0.338,
2009-01,0.231,
2009-04,0.165,
2009-07,0.129,
2009-10,0.080,
2010-01,0.071,
2010-04,0.066,
2010-07,0.061,
2010-10,0.060,
2011-01,0.061,
2011-04,0.062,
2011-07,0.072,
2011-10,0.072,
2012-01,0.080,
2012-04,0.057,
2012-07,0.047,
2012-10,0.050,
2013-01,0.055,
2013-04,0.057,
2013-07,0.063,
2013-10,0.076,
2014-01,0.075,
2014-04,0.077,
2014-07,0.076,
