"",BBK01.CEFE1C,BBK01.CEFE1C_FLAGS
"",short-term loans  debtor: Non-financial corporations                        creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:29,
1999-01,2.0,
1999-04,2.0,
1999-07,2.0,
1999-10,2.1,
2000-01,2.0,
2000-04,2.0,
2000-07,2.1,
2000-10,2.1,
2001-01,2.0,
2001-04,2.1,
2001-07,2.1,
2001-10,1.7,
2002-01,2.1,
2002-04,2.0,
2002-07,2.1,
2002-10,2.1,
2003-01,2.1,
2003-04,2.1,
2003-07,2.0,
2003-10,2.0,
2004-01,2.0,
2004-04,2.0,
2004-07,2.0,
2004-10,1.8,
2005-01,1.7,
2005-04,1.5,
2005-07,1.4,
2005-10,1.3,
2006-01,1.1,
2006-04,0.9,
2006-07,0.8,
2006-10,0.7,
2007-01,1.3,
2007-04,1.9,
2007-07,2.5,
2007-10,2.7,
2008-01,2.7,
2008-04,2.4,
2008-07,2.1,
2008-10,1.9,
2009-01,0.8,
2009-04,1.5,
2009-07,1.7,
2009-10,5.7,
2010-01,6.8,
2010-04,6.8,
2010-07,7.0,
2010-10,0.1,
2011-01,10.3,
2011-04,7.5,
2011-07,6.2,
2011-10,1.6,
2012-01,2.8,
2012-04,3.1,
2012-07,6.5,
2012-10,4.0,
2013-01,8.6,
2013-04,3.3,
2013-07,27.8,
2013-10,29.9,
2014-01,30.0,
2014-04,31.7,
2014-07,29.1,
