"",BBK01.OELB16K,BBK01.OELB16K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:52,
2002-01,0.514,
2002-04,0.520,
2002-07,0.519,
2002-10,0.533,
2003-01,0.527,
2003-04,0.531,
2003-07,0.529,
2003-10,0.537,
2004-01,0.541,
2004-04,0.555,
2004-07,0.556,
2004-10,0.602,
2005-01,0.576,
2005-04,0.583,
2005-07,0.584,
2005-10,0.612,
2006-01,0.650,
2006-04,0.679,
2006-07,0.685,
2006-10,0.710,
2007-01,0.746,
2007-04,0.781,
2007-07,0.775,
2007-10,0.797,
2008-01,0.822,
2008-04,0.837,
2008-07,0.849,
2008-10,0.875,
2009-01,0.884,
2009-04,0.906,
2009-07,0.919,
2009-10,0.940,
2010-01,0.940,
2010-04,0.962,
2010-07,0.978,
2010-10,0.987,
2011-01,0.998,
2011-04,1.017,
2011-07,1.050,
2011-10,1.066,
2012-01,1.074,
2012-04,1.853,
2012-07,1.879,
2012-10,1.891,
2013-01,1.941,
2013-04,1.937,
2013-07,1.996,
2013-10,1.999,
2014-01,1.995,
2014-04,1.999,
2014-07,2.029,
