"",BBDA1.M.DE.N.EX.S.GP09IS02.W1.A.V.ABA.A,BBDA1.M.DE.N.EX.S.GP09IS02.W1.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Intermediate products / Rest of the World / Unadjusted figure",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:45,
2008-01,27200643,
2008-02,26216513,
2008-03,26308610,
2008-04,28304336,
2008-05,26481292,
2008-06,27708735,
2008-07,27219306,
2008-08,24534308,
2008-09,27131414,
2008-10,27379046,
2008-11,22448442,
2008-12,18094056,
2009-01,19811628,
2009-02,19733970,
2009-03,21474175,
2009-04,20123304,
2009-05,19402226,
2009-06,21219283,
2009-07,22261708,
2009-08,19410296,
2009-09,22358941,
2009-10,22961498,
2009-11,22076907,
2009-12,19923507,
2010-01,21044068,
2010-02,22358900,
2010-03,27032477,
2010-04,24517959,
2010-05,25115033,
2010-06,27756374,
2010-07,26547813,
2010-08,25022143,
2010-09,27474647,
2010-10,27791048,
2010-11,27879436,
2010-12,24637942,
2011-01,26869204,
2011-02,27853794,
2011-03,31902182,
2011-04,28028723,
2011-05,30186326,
2011-06,29054578,
2011-07,28194781,
2011-08,28567754,
2011-09,30422700,
2011-10,27973324,
2011-11,28514409,
2011-12,24978136,
2012-01,27897802,
2012-02,28590037,
2012-03,31145187,
2012-04,27636738,
2012-05,29653686,
2012-06,29911188,
2012-07,28966346,
2012-08,28487393,
2012-09,27909925,
2012-10,30604855,
2012-11,28382681,
2012-12,22974304,
2013-01,29117978,
2013-02,27428381,
2013-03,29199437,
2013-04,29392233,
2013-05,28684257,
2013-06,28796254,
2013-07,28972814,
2013-08,26520663,
2013-09,28135597,
2013-10,30413102,
2013-11,27864444,
2013-12,23236856,
2014-01,29523073,
2014-02,28669821,
2014-03,29744449,
2014-04,29717036,
2014-05,28900517,
2014-06,29595831,
2014-07,30952126,
2014-08,26944964,
2014-09,31147194,
2014-10,31821862,
2014-11,28665453,
2014-12,25840065,
