"",BBK01.OEBL03O,BBK01.OEBL03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:15,
2002-01,-5.626,
2002-04,-5.458,
2002-07,-5.658,
2002-10,-5.504,
2003-01,-5.349,
2003-04,-5.184,
2003-07,-4.866,
2003-10,-4.651,
2004-01,-4.466,
2004-04,-4.351,
2004-07,-4.316,
2004-10,-4.156,
2005-01,0.464,
2005-04,0.465,
2005-07,0.456,
2005-10,0.464,
2006-01,0.472,
2006-04,0.468,
2006-07,0.519,
2006-10,0.622,
2007-01,0.669,
2007-04,0.726,
2007-07,0.892,
2007-10,1.099,
2008-01,1.220,
2008-04,1.313,
2008-07,1.591,
2008-10,1.669,
2009-01,1.459,
2009-04,1.345,
2009-07,1.121,
2009-10,0.964,
2010-01,0.753,
2010-04,0.769,
2010-07,0.708,
2010-10,0.670,
2011-01,0.698,
2011-04,0.756,
2011-07,0.758,
2011-10,0.798,
2012-01,0.831,
2012-04,0.894,
2012-07,0.886,
2012-10,0.815,
2013-01,0.757,
2013-04,0.820,
2013-07,0.835,
2013-10,0.801,
2014-01,0.791,
2014-04,0.767,
2014-07,0.768,
