"",BBK01.OEAD10V,BBK01.OEAD10V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:57,
2002-01,0.426,
2002-04,0.409,
2002-07,0.409,
2002-10,0.373,
2003-01,0.357,
2003-04,0.341,
2003-07,0.335,
2003-10,0.324,
2004-01,0.317,
2004-04,0.310,
2004-07,0.303,
2004-10,0.305,
2005-01,0.301,
2005-04,0.292,
2005-07,0.285,
2005-10,0.284,
2006-01,0.278,
2006-04,0.268,
2006-07,0.282,
2006-10,0.277,
2007-01,0.278,
2007-04,0.272,
2007-07,0.269,
2007-10,0.281,
2008-01,0.280,
2008-04,0.274,
2008-07,0.277,
2008-10,0.279,
2009-01,0.263,
2009-04,0.262,
2009-07,0.270,
2009-10,0.235,
2010-01,0.253,
2010-04,0.258,
2010-07,0.268,
2010-10,0.270,
2011-01,0.268,
2011-04,0.289,
2011-07,0.305,
2011-10,0.320,
2012-01,0.315,
2012-04,0.314,
2012-07,0.321,
2012-10,0.337,
2013-01,0.326,
2013-04,0.306,
2013-07,0.313,
2013-10,0.316,
2014-01,0.317,
2014-04,0.311,
2014-07,0.315,
