"",BBDE1.M.DE.Y.AED5.A2P310000.F.V.I10.A,BBDE1.M.DE.Y.AED5.A2P310000.F.V.I10.A_FLAGS
"","Orders received from abroad, Non-euro-area countries / At current prices / Germany / Intermediate goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:24,
2003-01,73.1,
2003-02,70.3,
2003-03,71.2,
2003-04,70.8,
2003-05,67.5,
2003-06,70.1,
2003-07,72.7,
2003-08,73.4,
2003-09,75.5,
2003-10,75.7,
2003-11,77.6,
2003-12,80.2,
2004-01,76.3,
2004-02,80.4,
2004-03,80.3,
2004-04,82.8,
2004-05,82.6,
2004-06,77.6,
2004-07,78.2,
2004-08,78.3,
2004-09,79.4,
2004-10,78.8,
2004-11,78.1,
2004-12,82.0,
2005-01,81.6,
2005-02,81.7,
2005-03,82.1,
2005-04,83.0,
2005-05,83.0,
2005-06,86.9,
2005-07,93.6,
2005-08,89.1,
2005-09,88.5,
2005-10,91.2,
2005-11,92.2,
2005-12,94.0,
2006-01,92.5,
2006-02,97.5,
2006-03,96.3,
2006-04,99.9,
2006-05,99.7,
2006-06,103.5,
2006-07,103.7,
2006-08,104.5,
2006-09,105.3,
2006-10,109.6,
2006-11,109.9,
2006-12,107.6,
2007-01,108.1,
2007-02,108.6,
2007-03,116.9,
2007-04,106.2,
2007-05,112.3,
2007-06,116.1,
2007-07,110.2,
2007-08,112.7,
2007-09,119.5,
2007-10,115.1,
2007-11,114.1,
2007-12,113.3,
2008-01,117.1,
2008-02,112.0,
2008-03,112.6,
2008-04,110.0,
2008-05,111.6,
2008-06,109.2,
2008-07,110.0,
2008-08,109.7,
2008-09,105.2,
2008-10,105.7,
2008-11,99.7,
2008-12,78.4,
2009-01,70.1,
2009-02,70.4,
2009-03,71.6,
2009-04,72.2,
2009-05,75.2,
2009-06,76.9,
2009-07,79.4,
2009-08,82.6,
2009-09,84.2,
2009-10,83.2,
2009-11,86.1,
2009-12,84.3,
2010-01,89.1,
2010-02,93.2,
2010-03,95.1,
2010-04,98.8,
2010-05,99.2,
2010-06,100.6,
2010-07,102.7,
2010-08,101.8,
2010-09,99.4,
2010-10,101.0,
2010-11,106.2,
2010-12,110.2,
2011-01,110.7,
2011-02,107.8,
2011-03,112.4,
2011-04,107.1,
2011-05,104.6,
2011-06,107.8,
2011-07,107.7,
2011-08,104.5,
2011-09,103.5,
2011-10,102.5,
2011-11,99.3,
2011-12,120.1,
2012-01,106.3,
2012-02,114.9,
2012-03,103.4,
2012-04,105.5,
2012-05,108.4,
2012-06,105.3,
2012-07,104.6,
2012-08,107.9,
2012-09,102.1,
2012-10,108.0,
2012-11,102.6,
2012-12,102.5,
2013-01,102.8,
2013-02,102.9,
2013-03,102.7,
2013-04,106.2,
2013-05,104.4,
2013-06,103.5,
2013-07,105.9,
2013-08,102.9,
2013-09,106.8,
2013-10,118.9,
2013-11,110.8,
2013-12,105.7,
2014-01,107.7,
2014-02,111.4,
2014-03,111.8,
2014-04,106.7,
2014-05,103.4,
2014-06,109.4,
2014-07,110.1,
2014-08,105.1,
2014-09,112.6,
2014-10,112.2,
2014-11,117.4,
2014-12,111.9,Provisional value
