"",BBFN1.M.DE.N.1.A.W1.S1P.H2.T.N000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.H2.T.N000.Z06.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from advance payments made / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:37,
1974-12,0.580,
1975-01,0.677,
1975-02,0.669,
1975-03,0.662,
1975-04,0.683,
1975-05,0.756,
1975-06,0.762,
1975-07,0.805,
1975-08,0.856,
1975-09,0.881,
1975-10,0.922,
1975-11,0.939,
1975-12,0.870,
1976-01,0.885,
1976-02,0.882,
1976-03,0.915,
1976-04,0.938,
1976-05,1.006,
1976-06,1.066,
1976-07,1.050,
1976-08,1.085,
1976-09,1.094,
1976-10,1.094,
1976-11,1.070,
1976-12,1.061,
1977-01,1.070,
1977-02,1.078,
1977-03,1.082,
1977-04,1.116,
1977-05,1.056,
1977-06,1.061,
1977-07,1.057,
1977-08,1.057,
1977-09,1.103,
1977-10,1.107,
1977-11,1.082,
1977-12,1.014,
1978-01,1.043,
1978-02,1.038,
1978-03,1.049,
1978-04,1.078,
1978-05,1.087,
1978-06,1.121,
1978-07,1.153,
1978-08,1.115,
1978-09,1.234,
1978-10,1.272,
1978-11,1.334,
1978-12,1.348,
1979-01,1.331,
1979-02,1.396,
1979-03,1.465,
1979-04,1.525,
1979-05,1.479,
1979-06,1.484,
1979-07,1.515,
1979-08,1.483,
1979-09,1.417,
1979-10,1.354,
1979-11,1.454,
1979-12,1.398,
1980-01,1.431,
1980-02,1.402,
1980-03,1.564,
1980-04,1.625,
1980-05,1.646,
1980-06,1.552,
1980-07,1.636,
1980-08,1.526,
1980-09,1.663,
1980-10,1.628,
1980-11,1.704,
1980-12,1.680,
1981-01,1.661,
1981-02,1.734,
1981-03,1.768,
1981-04,1.917,
1981-05,1.957,
1981-06,1.848,
1981-07,1.894,
1981-08,1.999,
1981-09,2.015,
1981-10,1.878,
1981-11,1.882,
1981-12,1.892,
1982-01,1.812,
1982-02,1.860,
1982-03,1.987,
1982-04,2.043,
1982-05,2.084,
1982-06,2.008,
1982-07,2.134,
1982-08,2.152,
1982-09,2.116,
1982-10,2.135,
1982-11,2.117,
1982-12,2.108,
1983-01,2.029,
1983-02,1.997,
1983-03,2.119,
1983-04,2.213,
1983-05,2.267,
1983-06,2.324,
1983-07,2.177,
1983-08,2.273,
1983-09,2.254,
1983-10,2.301,
1983-11,2.287,
1983-12,2.245,
1984-01,2.345,
1984-02,2.426,
1984-03,2.397,
1984-04,2.405,
1984-05,2.474,
1984-06,2.426,
1984-07,2.351,
1984-08,2.358,
1984-09,2.330,
1984-10,2.423,
1984-11,2.445,
1984-12,2.323,
1985-01,2.314,
1985-02,2.381,
1985-03,2.371,
1985-04,2.471,
1985-05,2.584,
1985-06,2.385,
1985-07,2.390,
1985-08,2.466,
1985-09,2.469,
1985-10,2.567,
1985-11,2.564,
1985-12,2.586,
1986-01,2.535,
1986-02,2.471,
1986-03,2.440,
1986-04,2.448,
1986-05,2.462,
1986-06,2.358,
1986-07,2.429,
1986-08,2.411,
1986-09,2.419,
1986-10,2.680,
1986-11,2.587,
1986-12,2.609,
1987-01,2.685,
1987-02,2.684,
1987-03,3.135,
1987-04,3.285,
1987-05,3.281,
1987-06,3.249,
1987-07,3.327,
1987-08,3.196,
1987-09,3.230,
1987-10,3.273,
1987-11,3.248,
1987-12,3.110,
1988-01,3.187,
1988-02,3.164,
1988-03,3.217,
1988-04,3.467,
1988-05,3.802,
1988-06,3.801,
1988-07,3.819,
1988-08,3.881,
1988-09,3.897,
1988-10,3.944,
1988-11,4.139,
1988-12,4.537,
1989-01,4.637,
1989-02,4.621,
1989-03,4.742,
1989-04,4.795,
1989-05,4.925,
1989-06,4.675,
1989-07,4.984,
1989-08,5.085,
1989-09,5.032,
1989-10,4.827,
1989-11,4.858,
1989-12,4.763,
1990-01,4.579,
1990-02,4.802,
1990-03,4.683,
1990-04,4.726,
1990-05,4.715,
1990-06,4.636,
1990-07,4.805,
1990-08,4.911,
1990-09,4.930,
1990-10,4.982,
1990-11,4.867,
1990-12,4.612,
1991-01,4.761,
1991-02,4.701,
1991-03,4.870,
1991-04,4.675,
1991-05,4.697,
1991-06,4.592,
1991-07,4.671,
1991-08,4.695,
1991-09,4.580,
1991-10,4.529,
1991-11,4.770,
1991-12,4.639,
1992-01,4.373,
1992-02,4.424,
1992-03,4.489,
1992-04,4.467,
1992-05,4.480,
1992-06,4.472,
1992-07,4.566,
1992-08,4.409,
1992-09,4.334,
1992-10,4.320,
1992-11,4.346,
1992-12,4.295,
1993-01,4.333,
1993-02,4.383,
1993-03,4.443,
1993-04,4.574,
1993-05,4.453,
1993-06,4.414,
1993-07,4.443,
1993-08,4.513,
1993-09,4.539,
1993-10,4.512,
1993-11,4.586,
1993-12,4.415,
1994-01,4.428,
1994-02,4.617,
1994-03,4.633,
1994-04,4.655,
1994-05,4.675,
1994-06,4.412,
1994-07,4.536,
1994-08,4.489,
1994-09,4.383,
1994-10,4.357,
1994-11,4.370,
1994-12,4.438,
1995-01,4.734,
1995-02,4.667,
1995-03,4.846,
