"",BBK01.OECB22V,BBK01.OECB22V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:28,
2002-01,0.106,
2002-04,0.136,
2002-07,0.122,
2002-10,0.142,
2003-01,0.137,
2003-04,0.153,
2003-07,0.298,
2003-10,0.273,
2004-01,0.116,
2004-04,0.128,
2004-07,0.115,
2004-10,0.134,
2005-01,0.092,
2005-04,0.085,
2005-07,0.043,
2005-10,0.037,
2006-01,0.035,
2006-04,0.059,
2006-07,0.031,
2006-10,0.028,
2007-01,0.033,
2007-04,0.031,
2007-07,0.021,
2007-10,0.020,
2008-01,0.027,
2008-04,0.026,
2008-07,0.015,
2008-10,0.027,
2009-01,0.017,
2009-04,0.013,
2009-07,0.015,
2009-10,0.021,
2010-01,0.019,
2010-04,0.020,
2010-07,0.011,
2010-10,0.009,
2011-01,0.008,
2011-04,0.018,
2011-07,0.007,
2011-10,0.027,
2012-01,0.001,
2012-04,0.002,
2012-07,0.094,
2012-10,0.036,
2013-01,0.012,
2013-04,0.011,
2013-07,0.031,
2013-10,0.015,
2014-01,0.135,
2014-04,0.140,
2014-07,0.134,
