"",BBK01.OEXI01I,BBK01.OEXI01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:28,
2002-01,21.609,
2002-04,20.076,
2002-07,20.674,
2002-10,21.671,
2003-01,21.836,
2003-04,21.396,
2003-07,15.477,
2003-10,14.855,
2004-01,15.560,
2004-04,15.925,
2004-07,16.581,
2004-10,16.338,
2005-01,17.730,
2005-04,17.280,
2005-07,16.722,
2005-10,16.858,
2006-01,17.790,
2006-04,17.304,
2006-07,15.811,
2006-10,21.776,
2007-01,22.772,
2007-04,23.654,
2007-07,24.742,
2007-10,25.202,
2008-01,26.214,
2008-04,26.281,
2008-07,26.309,
2008-10,32.582,
2009-01,34.558,
2009-04,34.900,
2009-07,36.072,
2009-10,37.784,
2010-01,40.671,
2010-04,41.708,
2010-07,43.203,
2010-10,45.512,
2011-01,49.547,
2011-04,52.279,
2011-07,55.793,
2011-10,58.929,
2012-01,64.815,
2012-04,69.219,
2012-07,70.818,
2012-10,71.135,
2013-01,73.044,
2013-04,73.123,
2013-07,73.752,
2013-10,74.823,
2014-01,75.058,
2014-04,75.244,
2014-07,74.878,
