"",BBK01.TQ7024,BBK01.TQ7024_FLAGS
"",Deposit takers - Foreign-currency-denominated liabilities to total liabilities                               FSI-I024,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:35,
2005-10,10.12,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,10.44,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,10.11,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,10.17,
2009-01,10.09,
2009-04,9.65,
2009-07,9.37,
2009-10,9.00,
2010-01,9.36,
2010-04,9.86,
2010-07,9.67,
2010-10,8.69,
2011-01,8.50,
2011-04,8.47,
2011-07,8.30,
2011-10,8.50,
2012-01,8.40,
2012-04,8.40,
2012-07,8.50,
2012-10,8.50,
2013-01,9.00,
2013-04,9.00,
2013-07,9.10,
2013-10,8.50,
2014-01,8.90,
2014-04,9.20,
2014-07,9.70,
