"",BBK01.OEBL08V,BBK01.OEBL08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:03,
2002-01,1.961,
2002-04,1.586,
2002-07,1.582,
2002-10,1.706,
2003-01,1.708,
2003-04,1.661,
2003-07,1.731,
2003-10,1.768,
2004-01,1.722,
2004-04,1.829,
2004-07,1.916,
2004-10,1.950,
2005-01,3.388,
2005-04,3.373,
2005-07,3.253,
2005-10,3.235,
2006-01,3.210,
2006-04,3.126,
2006-07,3.031,
2006-10,3.061,
2007-01,3.071,
2007-04,3.021,
2007-07,2.975,
2007-10,3.014,
2008-01,2.995,
2008-04,2.999,
2008-07,2.903,
2008-10,2.873,
2009-01,2.868,
2009-04,2.910,
2009-07,2.977,
2009-10,3.099,
2010-01,3.125,
2010-04,3.074,
2010-07,3.092,
2010-10,3.102,
2011-01,3.055,
2011-04,2.996,
2011-07,2.988,
2011-10,3.000,
2012-01,3.207,
2012-04,3.169,
2012-07,3.248,
2012-10,3.317,
2013-01,3.287,
2013-04,3.265,
2013-07,3.254,
2013-10,3.317,
2014-01,3.294,
2014-04,3.253,
2014-07,3.267,
