"",BBK01.OELI04N,BBK01.OELI04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:46,
2002-01,14.601,
2002-04,14.297,
2002-07,14.547,
2002-10,14.515,
2003-01,14.543,
2003-04,14.193,
2003-07,13.826,
2003-10,13.605,
2004-01,13.677,
2004-04,13.293,
2004-07,13.450,
2004-10,13.363,
2005-01,13.650,
2005-04,14.341,
2005-07,14.863,
2005-10,14.814,
2006-01,14.649,
2006-04,14.696,
2006-07,15.335,
2006-10,15.926,
2007-01,16.091,
2007-04,16.600,
2007-07,17.766,
2007-10,18.570,
2008-01,19.302,
2008-04,20.514,
2008-07,22.488,
2008-10,24.865,
2009-01,22.038,
2009-04,20.081,
2009-07,18.212,
2009-10,16.610,
2010-01,15.365,
2010-04,14.736,
2010-07,14.617,
2010-10,15.254,
2011-01,14.862,
2011-04,15.002,
2011-07,16.018,
2011-10,16.402,
2012-01,15.843,
2012-04,15.381,
2012-07,14.712,
2012-10,14.720,
2013-01,13.527,
2013-04,13.452,
2013-07,13.058,
2013-10,13.354,
2014-01,12.405,
2014-04,12.472,
2014-07,13.018,
