"",BBK01.OEAH23S,BBK01.OEAH23S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:16,
2002-01,0.376,
2002-04,0.374,
2002-07,0.372,
2002-10,0.364,
2003-01,0.355,
2003-04,0.342,
2003-07,0.356,
2003-10,0.367,
2004-01,0.385,
2004-04,0.380,
2004-07,0.381,
2004-10,0.386,
2005-01,0.391,
2005-04,0.385,
2005-07,0.355,
2005-10,0.333,
2006-01,0.292,
2006-04,0.282,
2006-07,0.278,
2006-10,0.273,
2007-01,0.294,
2007-04,0.316,
2007-07,0.340,
2007-10,0.375,
2008-01,0.406,
2008-04,0.421,
2008-07,0.448,
2008-10,0.487,
2009-01,0.479,
2009-04,0.432,
2009-07,0.366,
2009-10,0.293,
2010-01,0.222,
2010-04,0.182,
2010-07,0.177,
2010-10,0.169,
2011-01,0.165,
2011-04,0.172,
2011-07,0.168,
2011-10,0.176,
2012-01,0.178,
2012-04,0.191,
2012-07,0.193,
2012-10,0.192,
2013-01,0.191,
2013-04,0.186,
2013-07,0.179,
2013-10,0.185,
2014-01,0.167,
2014-04,0.144,
2014-07,0.119,
