"",BBK01.OELM04R,BBK01.OELM04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:48,
2002-01,0.008,
2002-04,0.032,
2002-07,0.017,
2002-10,0.009,
2003-01,0.014,
2003-04,0.011,
2003-07,0.010,
2003-10,0.007,
2004-01,0.014,
2004-04,0.016,
2004-07,0.031,
2004-10,0.021,
2005-01,0.018,
2005-04,0.030,
2005-07,0.031,
2005-10,0.030,
2006-01,0.031,
2006-04,0.035,
2006-07,0.035,
2006-10,0.028,
2007-01,0.032,
2007-04,0.034,
2007-07,0.039,
2007-10,0.018,
2008-01,0.018,
2008-04,0.016,
2008-07,0.018,
2008-10,0.019,
2009-01,0.016,
2009-04,0.017,
2009-07,0.017,
2009-10,0.021,
2010-01,0.023,
2010-04,0.018,
2010-07,0.012,
2010-10,0.012,
2011-01,0.017,
2011-04,0.017,
2011-07,0.015,
2011-10,0.016,
2012-01,0.017,
2012-04,0.017,
2012-07,0.016,
2012-10,0.016,
2013-01,0.016,
2013-04,0.018,
2013-07,0.014,
2013-10,0.012,
2014-01,0.012,
2014-04,0.010,
2014-07,0.010,
