"",BBK01.OEAC34Q,BBK01.OEAC34Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:17,
2002-01,0.195,
2002-04,0.184,
2002-07,0.176,
2002-10,0.173,
2003-01,0.171,
2003-04,0.179,
2003-07,0.160,
2003-10,0.156,
2004-01,0.155,
2004-04,0.164,
2004-07,0.145,
2004-10,0.134,
2005-01,0.130,
2005-04,0.127,
2005-07,0.127,
2005-10,0.124,
2006-01,0.118,
2006-04,0.116,
2006-07,0.112,
2006-10,0.107,
2007-01,0.121,
2007-04,0.099,
2007-07,0.157,
2007-10,0.090,
2008-01,0.086,
2008-04,0.081,
2008-07,0.081,
2008-10,0.078,
2009-01,0.105,
2009-04,0.105,
2009-07,0.139,
2009-10,0.133,
2010-01,0.221,
2010-04,0.217,
2010-07,0.201,
2010-10,0.138,
2011-01,0.156,
2011-04,0.147,
2011-07,0.103,
2011-10,0.144,
2012-01,0.144,
2012-04,0.144,
2012-07,0.142,
2012-10,0.162,
2013-01,0.158,
2013-04,0.176,
2013-07,0.153,
2013-10,0.145,
2014-01,0.149,
2014-04,0.139,
2014-07,0.135,
