"",BBK01.OECB03V,BBK01.OECB03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:20,
2002-01,0.374,
2002-04,0.427,
2002-07,0.406,
2002-10,0.430,
2003-01,0.429,
2003-04,0.419,
2003-07,0.418,
2003-10,0.402,
2004-01,0.411,
2004-04,0.481,
2004-07,0.481,
2004-10,0.375,
2005-01,0.404,
2005-04,0.368,
2005-07,0.289,
2005-10,0.300,
2006-01,0.290,
2006-04,0.281,
2006-07,0.310,
2006-10,0.361,
2007-01,0.355,
2007-04,0.354,
2007-07,0.343,
2007-10,0.440,
2008-01,0.506,
2008-04,0.529,
2008-07,0.555,
2008-10,0.536,
2009-01,0.529,
2009-04,0.751,
2009-07,0.720,
2009-10,0.632,
2010-01,0.532,
2010-04,0.537,
2010-07,0.430,
2010-10,0.412,
2011-01,0.406,
2011-04,0.402,
2011-07,0.425,
2011-10,0.430,
2012-01,0.427,
2012-04,0.365,
2012-07,0.377,
2012-10,0.383,
2013-01,0.394,
2013-04,0.404,
2013-07,0.375,
2013-10,0.412,
2014-01,0.390,
2014-04,0.387,
2014-07,0.354,
