"",BBK01.OEYB04P,BBK01.OEYB04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:54,
2002-01,4.195,
2002-04,4.226,
2002-07,4.334,
2002-10,4.595,
2003-01,4.758,
2003-04,4.847,
2003-07,4.815,
2003-10,5.003,
2004-01,5.124,
2004-04,5.332,
2004-07,5.450,
2004-10,5.478,
2005-01,5.565,
2005-04,5.670,
2005-07,5.645,
2005-10,5.623,
2006-01,5.602,
2006-04,5.498,
2006-07,5.430,
2006-10,5.437,
2007-01,5.490,
2007-04,5.565,
2007-07,5.578,
2007-10,5.673,
2008-01,5.715,
2008-04,5.111,
2008-07,5.274,
2008-10,5.272,
2009-01,5.205,
2009-04,5.202,
2009-07,5.182,
2009-10,5.047,
2010-01,5.037,
2010-04,6.042,
2010-07,5.945,
2010-10,5.584,
2011-01,5.566,
2011-04,5.639,
2011-07,5.571,
2011-10,5.698,
2012-01,5.778,
2012-04,5.938,
2012-07,5.888,
2012-10,5.948,
2013-01,5.898,
2013-04,7.105,
2013-07,7.097,
2013-10,7.103,
2014-01,7.121,
2014-04,7.049,
2014-07,7.034,
