"",BBK01.CEFS0M,BBK01.CEFS0M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:26,
1999-01,4.5,
1999-04,4.4,
1999-07,4.4,
1999-10,4.4,
2000-01,4.5,
2000-04,4.6,
2000-07,4.6,
2000-10,4.7,
2001-01,4.6,
2001-04,4.6,
2001-07,4.6,
2001-10,4.6,
2002-01,4.6,
2002-04,4.6,
2002-07,4.6,
2002-10,4.6,
2003-01,4.5,
2003-04,4.5,
2003-07,4.5,
2003-10,4.5,
2004-01,4.5,
2004-04,4.5,
2004-07,4.5,
2004-10,4.5,
2005-01,4.4,
2005-04,4.3,
2005-07,4.2,
2005-10,4.2,
2006-01,4.2,
2006-04,4.2,
2006-07,4.3,
2006-10,4.4,
2007-01,4.5,
2007-04,4.5,
2007-07,4.7,
2007-10,4.7,
2008-01,4.7,
2008-04,4.8,
2008-07,4.9,
2008-10,5.0,
2009-01,4.9,
2009-04,4.8,
2009-07,4.8,
2009-10,4.8,
2010-01,4.8,
2010-04,4.8,
2010-07,4.8,
2010-10,4.9,
2011-01,4.9,
2011-04,5.0,
2011-07,5.0,
2011-10,5.1,
2012-01,4.9,
2012-04,4.8,
2012-07,4.6,
2012-10,4.4,
2013-01,4.2,
2013-04,4.1,
2013-07,4.0,
2013-10,3.9,
2014-01,3.8,
2014-04,3.8,
2014-07,3.7,
