"",BBK01.OXA8G4,BBK01.OXA8G4_FLAGS
"",Long-term loans (including bills of exchange) to domestic non-financial corporations - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:57,
1999-01,432.050,
1999-02,430.463,
1999-03,423.440,
1999-04,423.922,
1999-05,425.682,
1999-06,426.624,
1999-07,430.165,
1999-08,432.984,
1999-09,439.888,
1999-10,441.898,
1999-11,446.353,
1999-12,453.920,
2000-01,455.953,
2000-02,457.896,
2000-03,459.080,
2000-04,459.106,
2000-05,462.081,
2000-06,463.023,
2000-07,465.729,
2000-08,469.168,
2000-09,470.051,
2000-10,472.289,
2000-11,474.831,
2000-12,475.641,
2001-01,476.280,
2001-02,478.867,
2001-03,479.497,
2001-04,479.403,
2001-05,481.506,
2001-06,481.356,
2001-07,483.215,
2001-08,485.996,
2001-09,485.696,
2001-10,486.771,
2001-11,488.872,
2001-12,489.158,
2002-01,490.782,
2002-02,491.773,
2002-03,491.515,
2002-04,491.707,
2002-05,493.041,
2002-06,491.570,
2002-07,494.446,
2002-08,496.087,
2002-09,493.410,
2002-10,494.345,
2002-11,494.874,
2002-12,494.900,
2003-01,494.056,
2003-02,494.693,
2003-03,491.740,
2003-04,493.233,
2003-05,493.773,
2003-06,492.240,
2003-07,492.493,
2003-08,495.218,
2003-09,491.548,
2003-10,492.391,
2003-11,493.763,
2003-12,492.061,
2004-01,491.366,
2004-02,491.986,
2004-03,491.081,
2004-04,493.500,
2004-05,496.443,
2004-06,494.025,
2004-07,492.882,
2004-08,493.305,
2004-09,490.583,
2004-10,491.163,
2004-11,491.339,
2004-12,487.938,
2005-01,488.151,
2005-02,487.482,
2005-03,484.763,
2005-04,485.485,
2005-05,487.502,
2005-06,485.747,
2005-07,486.909,
2005-08,485.285,
2005-09,483.419,
2005-10,484.705,
2005-11,486.268,
2005-12,485.972,
2006-01,495.871,
2006-02,497.350,
2006-03,494.058,
2006-04,495.664,
2006-05,496.937,
2006-06,496.226,
2006-07,496.012,
2006-08,498.130,
2006-09,496.871,
2006-10,495.505,
2006-11,496.986,
2006-12,495.846,
2007-01,496.854,
2007-02,497.835,
2007-03,497.425,
2007-04,496.889,
2007-05,497.541,
2007-06,496.707,
2007-07,497.708,
2007-08,502.508,
2007-09,500.830,
2007-10,502.100,
2007-11,505.560,
2007-12,507.533,
2008-01,509.098,
2008-02,509.744,
2008-03,508.744,
2008-04,511.936,
2008-05,514.407,
2008-06,513.825,
2008-07,516.867,
2008-08,520.601,
2008-09,522.199,
2008-10,528.711,
2008-11,529.157,
2008-12,528.621,
2009-01,530.898,
2009-02,531.240,
2009-03,528.073,
2009-04,525.441,
2009-05,525.303,
2009-06,523.141,
2009-07,525.720,
2009-08,526.891,
2009-09,524.771,
2009-10,524.566,
2009-11,529.709,
2009-12,527.794,
2010-01,529.333,
2010-02,531.555,
2010-03,528.986,
2010-04,531.674,
2010-05,535.769,
2010-06,536.314,
2010-07,537.684,
2010-08,540.721,
2010-09,535.883,
2010-10,536.052,
2010-11,541.333,
2010-12,541.769,
2011-01,541.679,
2011-02,543.837,
2011-03,541.053,
2011-04,541.228,
2011-05,543.659,
2011-06,543.140,
2011-07,544.659,
2011-08,545.353,
2011-09,545.382,
2011-10,546.162,
2011-11,549.235,
2011-12,550.359,
2012-01,551.765,
2012-02,553.588,
2012-03,552.829,
2012-04,552.792,
2012-05,556.777,
2012-06,555.842,
2012-07,559.867,
2012-08,560.893,
2012-09,557.502,
2012-10,557.100,
2012-11,559.295,
2012-12,557.333,
2013-01,556.688,
2013-02,558.990,
2013-03,558.106,
2013-04,558.387,
2013-05,558.907,
2013-06,557.813,
2013-07,558.121,
2013-08,557.655,
2013-09,555.216,
2013-10,556.029,
2013-11,559.540,
2013-12,559.711,
2014-01,561.104,
2014-02,560.385,
2014-03,556.778,
2014-04,558.139,
2014-05,560.816,
2014-06,557.812,
2014-07,559.379,
2014-08,561.876,
2014-09,560.669,
2014-10,561.918,
2014-11,564.797,
2014-12,549.531,Provisional value
