"",BBK01.OELB03T,BBK01.OELB03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:30,
2002-01,0.182,
2002-04,0.184,
2002-07,0.179,
2002-10,0.169,
2003-01,0.167,
2003-04,0.158,
2003-07,0.155,
2003-10,0.155,
2004-01,0.149,
2004-04,0.147,
2004-07,0.143,
2004-10,0.142,
2005-01,0.143,
2005-04,0.140,
2005-07,0.137,
2005-10,0.134,
2006-01,0.126,
2006-04,0.120,
2006-07,0.114,
2006-10,0.099,
2007-01,0.095,
2007-04,0.090,
2007-07,0.091,
2007-10,0.088,
2008-01,0.087,
2008-04,0.089,
2008-07,0.087,
2008-10,0.087,
2009-01,0.088,
2009-04,0.091,
2009-07,0.102,
2009-10,0.106,
2010-01,0.110,
2010-04,0.109,
2010-07,0.111,
2010-10,0.109,
2011-01,0.111,
2011-04,0.121,
2011-07,0.131,
2011-10,0.131,
2012-01,0.134,
2012-04,0.144,
2012-07,0.145,
2012-10,0.142,
2013-01,0.131,
2013-04,0.128,
2013-07,0.137,
2013-10,0.132,
2014-01,0.133,
2014-04,0.145,
2014-07,0.151,
