"",BBSF2.M.1.T.00000.IMM01.I.F.BGS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.BGS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Real estate funds / Developed properties,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:52,
1993-01,10498,
1993-02,.,No value available
1993-03,.,No value available
1993-04,9583,
1993-05,9597,
1993-06,9803,
1993-07,9963,
1993-08,10232,
1993-09,10407,
1993-10,10498,
1993-11,10966,
1993-12,12420,
1994-01,12748,
1994-02,13041,
1994-03,13520,
1994-04,13405,
1994-05,13532,
1994-06,13777,
1994-07,14105,
1994-08,14886,
1994-09,15798,
1994-10,15866,
1994-11,16039,
1994-12,16799,
1995-01,16641,
1995-02,16708,
1995-03,16869,
1995-04,16941,
1995-05,16986,
1995-06,17258,
1995-07,17398,
1995-08,17513,
1995-09,17857,
1995-10,17906,
1995-11,17926,
1995-12,18329,
1996-01,18504,
1996-02,19172,
1996-03,19508,
1996-04,19811,
1996-05,19981,
1996-06,20343,
1996-07,20599,
1996-08,21034,
1996-09,21943,
1996-10,22275,
1996-11,22844,
1996-12,23798,
1997-01,24059,
1997-02,24289,
1997-03,24462,
1997-04,24810,
1997-05,25104,
1997-06,25947,
1997-07,26246,
1997-08,26310,
1997-09,26638,
1997-10,26991,
1997-11,27255,
1997-12,28222,
1998-01,28653,
1998-02,29308,
1998-03,29780,
1998-04,30027,
1998-05,30166,
1998-06,30569,
1998-07,30718,
1998-08,30839,
1998-09,30559,
1998-10,30536,
1998-11,31067,
1998-12,32083,
1999-01,32577,
1999-02,32808,
1999-03,33237,
1999-04,33466,
1999-05,33885,
1999-06,34314,
1999-07,34620,
1999-08,34810,
1999-09,35891,
1999-10,36487,
1999-11,37322,
1999-12,39027,
2000-01,39636,
2000-02,39726,
2000-03,40284,
2000-04,41362,
2000-05,41146,
2000-06,41475,
2000-07,42237,
2000-08,42532,
2000-09,43392,
2000-10,43879,
2000-11,44187,
2000-12,44822,
2001-01,45165,
2001-02,47412,
2001-03,48025,
2001-04,48243,
2001-05,49006,
2001-06,49318,
2001-07,49294,
2001-08,49657,
2001-09,50757,
2001-10,51249,
2001-11,51614,
2001-12,52878,
2002-01,53275,
2002-02,53952,
2002-03,54454,
2002-04,54857,
2002-05,55829,
2002-06,56732,
2002-07,58333,
2002-08,58934,
2002-09,60301,
2002-10,60791,
2002-11,61602,
2002-12,63707,
2003-01,64581,
2003-02,65072,
2003-03,66521,
2003-04,68270,
2003-05,68679,
2003-06,70416,
2003-07,71678,
2003-08,73079,
2003-09,74781,
2003-10,76423,
2003-11,77155,
2003-12,79868,
2004-01,80932,
2004-02,82210,
2004-03,82451,
2004-04,82408,
2004-05,82773,
2004-06,83500,
2004-07,84643,
2004-08,84611,
2004-09,84520,
2004-10,84943,
2004-11,85385,
2004-12,86015,
2005-01,86256,
2005-02,86879,
2005-03,88783,
2005-04,89485,
2005-05,88970,
2005-06,89656,
2005-07,89856,
2005-08,89506,
2005-09,90302,
2005-10,90222,
2005-11,90221,
2005-12,89560,
2006-01,89841,
2006-02,89643,
2006-03,87943,
2006-04,87866,
2006-05,87626,
2006-06,86926,
2006-07,87130,
2006-08,86772,
2006-09,85321,
2006-10,84999,
2006-11,85524,
2006-12,84411,
2007-01,83861,
2007-02,82673,
2007-03,82738,
2007-04,82514,
2007-05,82201,
2007-06,83166,
2007-07,83822,
2007-08,81711,
2007-09,78876,
2007-10,78345,
2007-11,78599,
2007-12,79793,
2008-01,79554,
2008-02,79271,
2008-03,79567,
2008-04,80066,
2008-05,81318,
2008-06,81861,
2008-07,82130,
2008-08,82282,
2008-09,83833,
2008-10,84921,
2008-11,85469,
2008-12,83703,
2009-01,85594,
2009-02,86252,
2009-03,85972,
2009-04,86447,
2009-05,87213,
2009-06,87540,
2009-07,87913,
2009-08,88185,
2009-09,88835,
2009-10,89132,
2009-11,89158,
2009-12,90967,
2010-01,92202,
2010-02,92189,
2010-03,92607,
2010-04,93035,
2010-05,93482,
2010-06,93762,
2010-07,93407,
2010-08,93699,
2010-09,93134,
2010-10,93307,
2010-11,93787,
2010-12,93144,
2011-01,93115,
2011-02,93440,
2011-03,92806,
2011-04,92676,
2011-05,92831,
2011-06,92320,
2011-07,93049,
2011-08,93514,
2011-09,93486,
2011-10,93500,
2011-11,94146,
2011-12,93918,
2012-01,94001,
2012-02,93741,
2012-03,93931,
2012-04,93840,
2012-05,93767,
2012-06,94142,
2012-07,94731,
2012-08,94524,
2012-09,94958,
2012-10,95577,
2012-11,95132,
2012-12,95475,
2013-01,95409,
2013-02,95592,
2013-03,95440,
2013-04,95106,
2013-05,95359,
2013-06,94907,
2013-07,94631,
2013-08,94815,
2013-09,94260,
2013-10,94040,
2013-11,95030,
2013-12,96098,
2014-01,96520,
2014-02,96407,
2014-03,97040,
2014-04,98025,
2014-05,98086,
2014-06,98335,
2014-07,98550,
2014-08,98558,
2014-09,98934,
2014-10,97849,
2014-11,99147,
