"",BBK01.OELB17N,BBK01.OELB17N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:22,
2002-01,33.111,
2002-04,33.512,
2002-07,34.120,
2002-10,34.717,
2003-01,34.676,
2003-04,35.172,
2003-07,35.760,
2003-10,36.435,
2004-01,36.448,
2004-04,36.942,
2004-07,37.541,
2004-10,38.389,
2005-01,38.404,
2005-04,38.746,
2005-07,39.723,
2005-10,40.238,
2006-01,40.405,
2006-04,40.825,
2006-07,41.079,
2006-10,41.131,
2007-01,41.110,
2007-04,41.242,
2007-07,42.597,
2007-10,42.733,
2008-01,42.766,
2008-04,43.021,
2008-07,43.277,
2008-10,43.277,
2009-01,43.327,
2009-04,43.708,
2009-07,44.270,
2009-10,44.671,
2010-01,44.800,
2010-04,45.373,
2010-07,46.038,
2010-10,46.603,
2011-01,46.892,
2011-04,47.434,
2011-07,48.546,
2011-10,49.065,
2012-01,49.414,
2012-04,44.913,
2012-07,45.534,
2012-10,45.948,
2013-01,46.184,
2013-04,46.708,
2013-07,47.444,
2013-10,47.757,
2014-01,47.991,
2014-04,48.568,
2014-07,49.024,
