"",BBFN1.M.DE.N.1.A.RO.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.RO.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Romania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:05,
1994-07,0.167,
1994-08,0.195,
1994-09,0.178,
1994-10,0.188,
1994-11,0.185,
1994-12,0.193,
1995-01,0.188,
1995-02,0.182,
1995-03,0.182,
1995-04,0.195,
1995-05,0.217,
1995-06,0.279,
1995-07,0.289,
1995-08,0.293,
1995-09,0.298,
1995-10,0.259,
1995-11,0.299,
1995-12,0.313,
1996-01,0.284,
1996-02,0.279,
1996-03,0.271,
1996-04,0.254,
1996-05,0.265,
1996-06,0.273,
1996-07,0.286,
1996-08,0.283,
1996-09,0.278,
1996-10,0.288,
1996-11,0.298,
1996-12,0.313,
1997-01,0.299,
1997-02,0.289,
1997-03,0.290,
1997-04,0.296,
1997-05,0.299,
1997-06,0.310,
1997-07,0.305,
1997-08,0.304,
1997-09,0.304,
1997-10,0.312,
1997-11,0.303,
1997-12,0.331,
1998-01,0.310,
1998-02,0.331,
1998-03,0.331,
1998-04,0.338,
1998-05,0.328,
1998-06,0.328,
1998-07,0.331,
1998-08,0.339,
1998-09,0.335,
1998-10,0.330,
1998-11,0.335,
1998-12,0.341,
1999-01,0.339,
1999-02,0.329,
1999-03,0.332,
1999-04,0.317,
1999-05,0.335,
1999-06,0.335,
1999-07,0.322,
1999-08,0.341,
1999-09,0.350,
1999-10,0.355,
1999-11,0.361,
1999-12,0.351,
2000-01,0.344,
2000-02,0.330,
2000-03,0.359,
2000-04,0.370,
2000-05,0.363,
2000-06,0.369,
2000-07,0.374,
2000-08,0.377,
2000-09,0.386,
2000-10,0.408,
2000-11,0.441,
2000-12,0.400,
2001-01,0.405,
2001-02,0.425,
2001-03,0.433,
2001-04,0.460,
2001-05,0.455,
2001-06,0.484,
2001-07,0.463,
2001-08,0.450,
2001-09,0.462,
2001-10,0.467,
2001-11,0.491,
2001-12,0.501,
2002-01,0.458,
2002-02,0.451,
2002-03,0.424,
2002-04,0.427,
2002-05,0.420,
2002-06,0.454,
2002-07,0.436,
2002-08,0.427,
2002-09,0.426,
2002-10,0.426,
2002-11,0.439,
2002-12,0.436,
2003-01,0.428,
2003-02,0.408,
2003-03,0.427,
2003-04,0.418,
2003-05,0.415,
2003-06,0.406,
2003-07,0.405,
2003-08,0.420,
2003-09,0.443,
2003-10,0.455,
2003-11,0.461,
2003-12,0.410,
2004-01,0.401,
2004-02,0.421,
2004-03,0.452,
2004-04,0.480,
2004-05,0.496,
2004-06,0.479,
2004-07,0.472,
2004-08,0.481,
2004-09,0.453,
2004-10,0.470,
2004-11,0.487,
2004-12,0.447,
2005-01,0.441,
2005-02,0.453,
2005-03,0.468,
2005-04,0.546,
2005-05,0.584,
2005-06,0.590,
2005-07,0.601,
2005-08,0.600,
2005-09,0.672,
2005-10,0.706,
2005-11,0.716,
2005-12,0.634,
2006-01,0.669,
2006-02,0.694,
2006-03,0.723,
2006-04,0.759,
2006-05,0.803,
2006-06,0.839,
2006-07,0.911,
2006-08,0.927,
2006-09,0.949,
2006-10,0.992,
2006-11,1.067,
2006-12,1.011,
2007-01,0.984,
2007-02,1.058,
2007-03,1.053,
2007-04,1.112,
2007-05,1.148,
2007-06,1.190,
2007-07,1.196,
2007-08,1.149,
2007-09,1.177,
2007-10,1.182,
2007-11,1.292,
2007-12,1.200,
2008-01,1.227,
2008-02,1.248,
2008-03,1.297,
2008-04,1.346,
2008-05,1.337,
2008-06,1.713,
2008-07,1.697,
2008-08,1.698,
2008-09,1.752,
2008-10,1.725,
2008-11,1.735,
2008-12,1.515,
2009-01,1.478,
2009-02,1.505,
2009-03,1.456,
2009-04,1.435,
2009-05,1.448,
2009-06,1.414,
2009-07,1.363,
2009-08,1.304,
2009-09,1.343,
2009-10,1.338,
2009-11,1.317,
2009-12,1.295,
2010-01,1.268,
2010-02,1.299,
2010-03,1.301,
2010-04,1.232,
2010-05,1.260,
2010-06,1.283,
2010-07,1.301,
2010-08,1.322,
2010-09,1.293,
2010-10,1.351,
2010-11,1.426,
2010-12,1.328,
2011-01,1.327,
2011-02,1.337,
2011-03,1.431,
2011-04,1.435,
2011-05,1.444,
2011-06,1.495,
2011-07,1.374,
2011-08,1.373,
2011-09,1.332,
2011-10,1.400,
2011-11,1.423,
2011-12,1.389,
2012-01,1.378,
2012-02,1.448,
2012-03,1.404,
2012-04,1.432,
2012-05,1.435,
2012-06,1.455,
2012-07,1.463,
2012-08,1.418,
2012-09,1.464,
2012-10,1.491,
2012-11,1.474,
2012-12,1.493,
2013-01,1.478,
2013-02,1.551,
2013-03,1.617,
2013-04,1.628,
2013-05,1.569,
2013-06,1.607,
2013-07,1.551,
2013-08,1.515,
2013-09,1.516,
2013-10,1.544,
2013-11,1.578,
2013-12,1.514,
2014-01,1.466,
2014-02,1.513,
2014-03,1.610,
2014-04,1.547,
2014-05,1.528,
2014-06,1.557,
2014-07,1.500,
2014-08,1.489,
2014-09,1.508,
2014-10,1.450,
2014-11,1.478,
2014-12,1.455,
