"",BBEX3.A.TZS.USD.CA.AB.A04,BBEX3.A.TZS.USD.CA.AB.A04_FLAGS
"",Exchange rates for the US dollar in the United Republic of Tanzania / USD 1 = TZS ... (selling),
unit,TZS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:17:03,
1984,15.5728,comment
1985,17.4180,
1986,34.4347,comment
1987,65.9497,
1988,100.8891,comment
1989,146.0089,comment
1990,196.0210,
1991,221.8355,
1992,307.0028,
1993,417.4136,
1994,517.8827,
1995,582.7150,
1996,586.3792,
1997,619.6833,
1998,674.2364,
1999,757.3839,
2000,808.6641,
2001,889.8252,
2002,975.3747,
2003,1052.9999,
2004,1100.5835,
2005,1143.5489,
2006,1266.6721,
2007,1251.5306,
2008,1218.3866,
2009,1320.4058,
2010,1415.9492,
2011,1577.5900,
2012,1582.7317,
2013,1605.2817,
2014,1667.3750,
"","Source: Bank of Tanzania, Dar es Salaam",
"",Methodology: Calculated on the basis of month-end rates.,
"","Comment on 1984: On 15 June 1984, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 14 June 1984: USD 1 = TZS 12.5831 / 12.6629 16 June 1984: USD 1 = TZS 17.0197 / 17.1269 Calculated devaluation: 26.1%.",
"","Comment on 1986: From April to June 1986, the Tanzania shilling, which is pegged to a currency basket, was devalued in several stages.",
"","Comment on 1988: On 5 November 1988, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 4 November 1988: USD 1 = TZS 98.6715 / 99.6637 7 November 1988: USD 1 = TZS 119.3997 / 120.6003 Calculated devaluation: 17.4%.",
"","Comment on 1989: On 3 December 1989, the exchange rates were adjusted more sharply. We recorded the following exchange rates (buying/selling rate): 2 December 1989: USD 1 = TZS 156.6547 / 158.2297 3 December 1989: USD 1 = TZS 189.0497 / 190.9503 Calculated devaluation: 17.1%.",
