"",BBK01.OEYB03V,BBK01.OEYB03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:01,
2002-01,2.040,
2002-04,1.869,
2002-07,1.961,
2002-10,2.105,
2003-01,1.843,
2003-04,1.755,
2003-07,1.700,
2003-10,1.711,
2004-01,1.777,
2004-04,1.823,
2004-07,1.942,
2004-10,2.028,
2005-01,2.089,
2005-04,2.035,
2005-07,1.577,
2005-10,1.575,
2006-01,1.409,
2006-04,1.504,
2006-07,1.608,
2006-10,1.767,
2007-01,1.625,
2007-04,1.564,
2007-07,1.640,
2007-10,1.716,
2008-01,1.548,
2008-04,0.534,
2008-07,0.528,
2008-10,0.418,
2009-01,0.188,
2009-04,0.242,
2009-07,0.242,
2009-10,0.397,
2010-01,0.259,
2010-04,0.273,
2010-07,0.267,
2010-10,0.305,
2011-01,0.311,
2011-04,0.327,
2011-07,0.731,
2011-10,0.617,
2012-01,0.600,
2012-04,0.617,
2012-07,0.572,
2012-10,0.284,
2013-01,0.251,
2013-04,0.264,
2013-07,0.232,
2013-10,0.227,
2014-01,0.231,
2014-04,0.221,
2014-07,0.208,
