"",BBK01.OEAE02R,BBK01.OEAE02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:32,
2002-01,2.219,
2002-04,2.259,
2002-07,2.360,
2002-10,2.359,
2003-01,2.164,
2003-04,2.176,
2003-07,2.177,
2003-10,2.184,
2004-01,2.193,
2004-04,2.187,
2004-07,2.213,
2004-10,2.208,
2005-01,2.190,
2005-04,2.153,
2005-07,2.196,
2005-10,2.172,
2006-01,2.140,
2006-04,2.153,
2006-07,2.176,
2006-10,2.234,
2007-01,2.241,
2007-04,2.227,
2007-07,2.177,
2007-10,2.171,
2008-01,2.436,
2008-04,2.462,
2008-07,2.484,
2008-10,2.474,
2009-01,2.947,
2009-04,2.994,
2009-07,2.988,
2009-10,3.172,
2010-01,3.017,
2010-04,3.056,
2010-07,3.081,
2010-10,3.057,
2011-01,3.053,
2011-04,3.088,
2011-07,3.072,
2011-10,3.067,
2012-01,3.072,
2012-04,3.100,
2012-07,3.101,
2012-10,3.177,
2013-01,3.204,
2013-04,3.252,
2013-07,3.276,
2013-10,3.301,
2014-01,3.333,
2014-04,3.386,
2014-07,3.374,
