"",BBFB1.M.Y.DE.W1.S1.S1.T.C.D4P._T.F._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.C.D4P._T.F._Z._T._X.N_FLAGS
"",Balance of payments / Primary income: Investment income / Credit (Resources) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:18,
1991-01,4.94,
1991-02,5.04,
1991-03,4.58,
1991-04,4.88,
1991-05,5.21,
1991-06,4.88,
1991-07,4.99,
1991-08,5.09,
1991-09,5.14,
1991-10,5.16,
1991-11,5.19,
1991-12,5.10,
1992-01,5.08,
1992-02,5.00,
1992-03,4.83,
1992-04,5.11,
1992-05,5.29,
1992-06,5.13,
1992-07,5.12,
1992-08,5.47,
1992-09,5.14,
1992-10,5.29,
1992-11,5.26,
1992-12,5.15,
1993-01,5.42,
1993-02,5.28,
1993-03,5.15,
1993-04,5.51,
1993-05,5.14,
1993-06,5.05,
1993-07,5.13,
1993-08,5.09,
1993-09,5.02,
1993-10,5.02,
1993-11,4.86,
1993-12,4.99,
1994-01,4.88,
1994-02,4.55,
1994-03,4.85,
1994-04,4.89,
1994-05,4.70,
1994-06,4.57,
1994-07,4.73,
1994-08,4.74,
1994-09,4.86,
1994-10,4.66,
1994-11,4.79,
1994-12,4.93,
1995-01,4.95,
1995-02,5.00,
1995-03,5.03,
1995-04,4.92,
1995-05,4.84,
1995-06,5.06,
1995-07,4.93,
1995-08,4.70,
1995-09,4.90,
1995-10,4.79,
1995-11,4.58,
1995-12,5.16,
1996-01,4.95,
1996-02,4.87,
1996-03,5.17,
1996-04,5.05,
1996-05,4.87,
1996-06,4.91,
1996-07,5.38,
1996-08,5.14,
1996-09,5.25,
1996-10,5.25,
1996-11,5.37,
1996-12,5.95,
1997-01,5.56,
1997-02,5.74,
1997-03,5.51,
1997-04,5.65,
1997-05,5.63,
1997-06,5.82,
1997-07,5.63,
1997-08,5.74,
1997-09,5.68,
1997-10,6.11,
1997-11,5.96,
1997-12,7.21,
1998-01,5.73,
1998-02,5.34,
1998-03,5.88,
1998-04,5.78,
1998-05,5.70,
1998-06,6.42,
1998-07,6.16,
1998-08,5.89,
1998-09,6.04,
1998-10,5.16,
1998-11,5.88,
1998-12,8.07,
1999-01,5.55,
1999-02,5.99,
1999-03,6.17,
1999-04,7.57,
1999-05,6.56,
1999-06,6.89,
1999-07,6.67,
1999-08,6.58,
1999-09,6.68,
1999-10,7.08,
1999-11,7.21,
1999-12,9.02,
2000-01,7.44,
2000-02,7.48,
2000-03,9.52,
2000-04,8.43,
2000-05,9.04,
2000-06,8.83,
2000-07,9.01,
2000-08,8.72,
2000-09,8.94,
2000-10,9.62,
2000-11,8.81,
2000-12,14.59,
2001-01,8.18,
2001-02,8.26,
2001-03,8.16,
2001-04,8.23,
2001-05,8.23,
2001-06,8.16,
2001-07,7.50,
2001-08,7.73,
2001-09,7.57,
2001-10,7.72,
2001-11,7.68,
2001-12,7.49,
2002-01,7.73,
2002-02,8.08,
2002-03,7.97,
2002-04,7.83,
2002-05,8.17,
2002-06,8.23,
2002-07,7.97,
2002-08,8.09,
2002-09,8.45,
2002-10,7.90,
