"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.BN00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.BN00.Z06.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:30,
1971-12,0.517,
1972-01,0.537,
1972-02,0.538,
1972-03,0.514,
1972-04,0.501,
1972-05,0.488,
1972-06,0.496,
1972-07,0.536,
1972-08,0.497,
1972-09,0.508,
1972-10,0.522,
1972-11,0.536,
1972-12,0.594,
1973-01,0.559,
1973-02,0.554,
1973-03,0.551,
1973-04,0.652,
1973-05,0.643,
1973-06,0.658,
1973-07,0.653,
1973-08,0.656,
1973-09,0.645,
1973-10,0.645,
1973-11,0.658,
1973-12,0.653,
1974-01,0.635,
1974-02,0.646,
1974-03,0.657,
1974-04,0.660,
1974-05,0.687,
1974-06,0.720,
1974-07,0.737,
1974-08,0.756,
1974-09,0.772,
1974-10,0.801,
1974-11,0.820,
1974-12,1.034,
1975-01,1.075,
1975-02,1.069,
1975-03,1.092,
1975-04,1.110,
1975-05,1.141,
1975-06,1.186,
1975-07,1.199,
1975-08,1.233,
1975-09,1.220,
1975-10,1.234,
1975-11,1.244,
1975-12,1.284,
1976-01,1.304,
1976-02,1.304,
1976-03,1.353,
1976-04,1.349,
1976-05,1.384,
1976-06,1.406,
1976-07,1.441,
1976-08,1.475,
1976-09,1.464,
1976-10,1.385,
1976-11,1.432,
1976-12,1.481,
1977-01,1.462,
1977-02,1.491,
1977-03,1.554,
1977-04,1.569,
1977-05,1.553,
1977-06,1.586,
1977-07,1.533,
1977-08,1.577,
1977-09,1.675,
1977-10,1.598,
1977-11,1.617,
1977-12,1.644,
1978-01,1.611,
1978-02,1.628,
1978-03,1.641,
1978-04,1.682,
1978-05,1.678,
1978-06,1.661,
1978-07,1.670,
1978-08,1.674,
1978-09,1.693,
1978-10,1.669,
1978-11,1.687,
1978-12,1.778,
1979-01,1.749,
1979-02,1.866,
1979-03,1.846,
1979-04,1.701,
1979-05,1.744,
1979-06,1.778,
1979-07,1.823,
1979-08,1.808,
1979-09,1.807,
1979-10,1.785,
1979-11,1.762,
1979-12,1.776,
1980-01,1.876,
1980-02,1.927,
1980-03,1.998,
1980-04,2.007,
1980-05,2.053,
1980-06,1.992,
1980-07,1.999,
1980-08,2.014,
1980-09,2.030,
1980-10,2.079,
1980-11,2.068,
1980-12,2.147,
1981-01,2.178,
1981-02,2.183,
1981-03,2.201,
1981-04,2.230,
1981-05,2.263,
1981-06,2.343,
1981-07,2.338,
1981-08,2.384,
1981-09,2.351,
1981-10,2.412,
1981-11,2.419,
1981-12,2.656,
1982-01,2.668,
1982-02,2.697,
1982-03,2.742,
1982-04,2.761,
1982-05,2.785,
1982-06,2.834,
1982-07,2.836,
1982-08,2.904,
1982-09,2.861,
1982-10,2.863,
1982-11,2.907,
1982-12,3.081,
1983-01,3.108,
1983-02,3.322,
1983-03,3.456,
1983-04,3.461,
1983-05,3.239,
1983-06,3.246,
1983-07,3.239,
1983-08,3.284,
1983-09,3.214,
1983-10,3.266,
1983-11,3.284,
1983-12,3.296,
1984-01,3.280,
1984-02,3.279,
1984-03,3.301,
1984-04,3.327,
1984-05,3.465,
1984-06,3.469,
1984-07,3.529,
1984-08,3.527,
1984-09,3.565,
1984-10,3.598,
1984-11,3.766,
1984-12,3.890,
1985-01,3.940,
1985-02,3.939,
1985-03,4.018,
1985-04,4.019,
1985-05,4.063,
1985-06,4.112,
1985-07,4.202,
1985-08,4.249,
1985-09,4.193,
1985-10,4.174,
1985-11,4.163,
1985-12,4.537,
1986-01,4.474,
1986-02,4.599,
1986-03,4.542,
1986-04,4.648,
1986-05,4.574,
1986-06,4.584,
1986-07,4.715,
1986-08,4.824,
1986-09,4.785,
1986-10,4.836,
1986-11,4.851,
1986-12,4.495,
1987-01,4.805,
1987-02,4.825,
1987-03,5.066,
1987-04,5.074,
1987-05,5.172,
1987-06,5.152,
1987-07,5.138,
1987-08,5.427,
1987-09,5.436,
1987-10,5.511,
1987-11,5.544,
1987-12,5.493,
1988-01,5.395,
1988-02,5.391,
1988-03,5.516,
1988-04,5.486,
1988-05,5.494,
1988-06,5.664,
1988-07,5.719,
1988-08,5.759,
1988-09,5.813,
1988-10,6.007,
1988-11,5.723,
1988-12,5.676,
1989-01,5.670,
1989-02,5.670,
1989-03,6.328,
1989-04,6.335,
1989-05,6.455,
1989-06,6.497,
1989-07,6.668,
1989-08,6.759,
1989-09,7.067,
1989-10,6.947,
1989-11,6.961,
1989-12,6.962,
1990-01,6.599,
1990-02,6.587,
1990-03,6.725,
1990-04,6.873,
1990-05,7.007,
1990-06,6.937,
1990-07,7.034,
1990-08,6.971,
1990-09,7.194,
1990-10,7.202,
1990-11,7.170,
1990-12,7.041,
1991-01,6.908,
1991-02,6.841,
1991-03,7.024,
1991-04,6.882,
1991-05,6.947,
1991-06,7.074,
1991-07,7.179,
1991-08,7.174,
1991-09,7.459,
1991-10,7.246,
1991-11,7.281,
1991-12,7.267,
1992-01,7.390,
1992-02,7.265,
1992-03,7.050,
1992-04,6.969,
1992-05,6.944,
1992-06,6.795,
1992-07,6.757,
1992-08,6.671,
1992-09,6.614,
1992-10,6.715,
1992-11,6.803,
1992-12,7.141,
1993-01,7.076,
1993-02,7.102,
1993-03,7.083,
1993-04,6.964,
1993-05,6.986,
1993-06,7.232,
1993-07,7.105,
1993-08,7.053,
1993-09,6.948,
1993-10,7.080,
1993-11,7.240,
1993-12,7.070,
1994-01,7.155,
1994-02,7.280,
1994-03,7.052,
1994-04,7.065,
1994-05,7.035,
1994-06,7.020,
1994-07,7.260,
1994-08,6.837,
1994-09,6.727,
1994-10,6.304,
1994-11,6.441,
1994-12,6.264,
1995-01,6.232,
1995-02,6.246,
1995-03,6.473,
1995-04,6.337,
1995-05,6.412,
1995-06,6.507,
1995-07,6.957,
1995-08,7.284,
1995-09,7.650,
1995-10,7.632,
1995-11,7.807,
1995-12,7.759,
1996-01,7.824,
1996-02,7.823,
1996-03,7.854,
1996-04,7.841,
1996-05,7.828,
1996-06,7.365,
1996-07,7.227,
1996-08,7.113,
1996-09,7.025,
1996-10,7.117,
1996-11,7.255,
1996-12,7.431,
1997-01,7.660,
1997-02,7.666,
1997-03,8.087,
1997-04,8.369,
1997-05,8.454,
1997-06,8.674,
1997-07,8.417,
1997-08,8.380,
1997-09,8.525,
1997-10,8.396,
1997-11,8.845,
1997-12,9.329,
1998-01,9.865,
1998-02,10.013,
1998-03,10.327,
1998-04,10.637,
1998-05,10.914,
1998-06,11.100,
1998-07,11.112,
1998-08,11.073,
1998-09,11.313,
1998-10,11.235,
1998-11,12.616,
1998-12,13.512,
1999-01,11.906,
1999-02,11.738,
1999-03,11.459,
1999-04,11.544,
1999-05,11.246,
1999-06,11.111,
1999-07,11.892,
1999-08,12.429,
1999-09,12.875,
1999-10,13.345,
1999-11,13.521,
1999-12,12.436,
2000-01,12.450,
2000-02,12.684,
2000-03,12.553,
2000-04,12.468,
2000-05,14.780,
2000-06,15.440,
2000-07,15.767,
2000-08,15.032,
2000-09,15.418,
2000-10,16.073,
2000-11,16.149,
2000-12,16.241,
2001-01,16.902,
2001-02,16.877,
2001-03,17.236,
2001-04,17.474,
2001-05,17.424,
