"",BBFN1.M.DE.N.1.A.O1.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.O1.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Countries in Oceania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:15,
1995-01,0.297,
1995-02,0.401,
1995-03,0.412,
1995-04,0.400,
1995-05,0.463,
1995-06,0.468,
1995-07,0.439,
1995-08,0.462,
1995-09,0.519,
1995-10,0.530,
1995-11,0.344,
1995-12,0.329,
1996-01,0.337,
1996-02,0.358,
1996-03,0.367,
1996-04,0.438,
1996-05,0.609,
1996-06,0.558,
1996-07,0.454,
1996-08,0.556,
1996-09,0.561,
1996-10,0.567,
1996-11,0.555,
1996-12,0.472,
1997-01,0.487,
1997-02,0.526,
1997-03,0.659,
1997-04,0.709,
1997-05,0.626,
1997-06,0.660,
1997-07,0.659,
1997-08,0.652,
1997-09,0.645,
1997-10,0.589,
1997-11,0.599,
1997-12,0.576,
1998-01,0.598,
1998-02,0.628,
1998-03,0.632,
1998-04,0.663,
1998-05,0.723,
1998-06,0.726,
1998-07,0.669,
1998-08,0.677,
1998-09,0.664,
1998-10,0.674,
1998-11,0.666,
1998-12,0.534,
1999-01,0.575,
1999-02,0.614,
1999-03,0.697,
1999-04,0.750,
1999-05,0.796,
1999-06,0.814,
1999-07,0.837,
1999-08,0.818,
1999-09,0.824,
1999-10,0.838,
1999-11,0.829,
1999-12,0.717,
2000-01,0.763,
2000-02,0.784,
2000-03,0.984,
2000-04,1.042,
2000-05,1.073,
2000-06,0.996,
2000-07,0.997,
2000-08,1.012,
2000-09,1.110,
2000-10,1.103,
2000-11,1.104,
2000-12,0.749,
2001-01,0.725,
2001-02,0.757,
2001-03,0.722,
2001-04,0.748,
2001-05,0.739,
2001-06,0.581,
2001-07,0.559,
2001-08,0.584,
2001-09,0.550,
2001-10,0.565,
2001-11,0.629,
2001-12,0.660,
2002-01,0.639,
2002-02,0.686,
2002-03,0.643,
2002-04,0.608,
2002-05,0.622,
2002-06,0.707,
2002-07,0.667,
2002-08,0.759,
2002-09,0.957,
2002-10,1.008,
2002-11,1.149,
2002-12,1.050,
2003-01,1.044,
2003-02,0.827,
2003-03,0.988,
2003-04,0.986,
2003-05,1.014,
2003-06,0.952,
2003-07,0.902,
2003-08,0.957,
2003-09,1.011,
2003-10,1.180,
2003-11,1.088,
2003-12,1.009,
2004-01,0.992,
2004-02,1.019,
2004-03,1.029,
2004-04,1.201,
2004-05,1.076,
2004-06,0.968,
2004-07,1.182,
2004-08,1.182,
2004-09,1.044,
2004-10,1.125,
2004-11,1.137,
2004-12,1.014,
2005-01,0.817,
2005-02,0.786,
2005-03,0.783,
2005-04,0.980,
2005-05,1.131,
2005-06,1.087,
2005-07,1.092,
2005-08,0.859,
2005-09,0.823,
2005-10,0.865,
2005-11,0.749,
2005-12,0.711,
2006-01,0.860,
2006-02,0.909,
2006-03,0.952,
2006-04,0.764,
2006-05,0.829,
2006-06,0.729,
2006-07,0.809,
2006-08,0.899,
2006-09,0.801,
2006-10,1.001,
2006-11,0.913,
2006-12,0.900,
2007-01,0.853,
2007-02,0.808,
2007-03,0.954,
2007-04,0.845,
2007-05,0.987,
2007-06,0.907,
2007-07,0.925,
2007-08,1.169,
2007-09,1.404,
2007-10,1.516,
2007-11,1.857,
2007-12,1.901,
2008-01,1.901,
2008-02,1.857,
2008-03,1.652,
2008-04,1.690,
2008-05,1.690,
2008-06,1.619,
2008-07,1.552,
2008-08,1.461,
2008-09,1.517,
2008-10,1.254,
2008-11,1.243,
2008-12,2.055,
2009-01,2.120,
2009-02,2.065,
2009-03,2.561,
2009-04,2.290,
2009-05,2.309,
2009-06,2.406,
2009-07,2.322,
2009-08,2.351,
2009-09,2.105,
2009-10,2.267,
2009-11,2.566,
2009-12,2.490,
2010-01,2.368,
2010-02,2.303,
2010-03,2.159,
2010-04,1.953,
2010-05,2.329,
2010-06,2.064,
2010-07,2.496,
2010-08,2.254,
2010-09,2.251,
2010-10,2.436,
2010-11,2.740,
2010-12,2.850,
2011-01,2.783,
2011-02,2.311,
2011-03,2.126,
2011-04,2.115,
2011-05,2.233,
2011-06,2.191,
2011-07,2.135,
2011-08,2.258,
2011-09,1.718,
2011-10,1.559,
2011-11,1.406,
2011-12,1.401,
2012-01,1.272,
2012-02,1.273,
2012-03,1.868,
2012-04,1.843,
2012-05,1.735,
2012-06,2.601,
2012-07,2.643,
2012-08,2.338,
2012-09,2.781,
2012-10,3.059,
2012-11,3.010,
2012-12,2.724,
2013-01,2.722,
2013-02,2.927,
2013-03,2.684,
2013-04,2.246,
2013-05,2.696,
2013-06,1.915,
2013-07,1.666,
2013-08,2.229,
2013-09,2.346,
2013-10,2.461,
2013-11,2.212,
2013-12,1.629,
2014-01,1.794,
2014-02,1.733,
2014-03,1.865,
2014-04,1.789,
2014-05,1.813,
2014-06,1.412,
2014-07,1.466,
2014-08,1.718,
2014-09,1.806,
2014-10,2.303,
2014-11,1.840,
2014-12,1.548,
