"",BBSF2.M.1.S.I0002.REN01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.REN01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:02,
2004-01,-,Nothing exists
2004-02,30,
2004-03,159,
2004-04,20,
2004-05,-6,
2004-06,32,
2004-07,-74,
2004-08,333,
2004-09,6,
2004-10,-25,
2004-11,-5,
2004-12,57,
2005-01,199,
2005-02,167,
2005-03,211,
2005-04,48,
2005-05,248,
2005-06,-10,
2005-07,34,
2005-08,8,
2005-09,35,
2005-10,-305,
2005-11,-407,
2005-12,572,
2006-01,2500,
2006-02,116,
2006-03,301,
2006-04,-82,
2006-05,112,
2006-06,368,
2006-07,70,
2006-08,-27,
2006-09,6296,
2006-10,34,
2006-11,108,
2006-12,50,
2007-01,-84,
2007-02,215,
2007-03,-156,
2007-04,160,
2007-05,4,
2007-06,-167,
2007-07,39,
2007-08,9,
2007-09,-234,
2007-10,74,
2007-11,441,
2007-12,-21,
2008-01,2067,
2008-02,-190,
2008-03,-6,
2008-04,32,
2008-05,517,
2008-06,-88,
2008-07,-34,
2008-08,-186,
2008-09,-206,
2008-10,48,
2008-11,202,
2008-12,-280,
2009-01,875,
2009-02,-175,
2009-03,1241,
2009-04,-274,
2009-05,-361,
2009-06,-77,
2009-07,-128,
2009-08,57,
2009-09,238,
2009-10,56,
2009-11,286,
2009-12,1111,
2010-01,15,
2010-02,142,
2010-03,290,
2010-04,139,
2010-05,121,
2010-06,-138,
2010-07,-2,
2010-08,682,
2010-09,83,
2010-10,-1149,
2010-11,130,
2010-12,83,
2011-01,-223,
2011-02,536,
2011-03,315,
2011-04,175,
2011-05,22,
2011-06,15,
2011-07,129,
2011-08,-77,
2011-09,419,
2011-10,432,
2011-11,60,
2011-12,489,
2012-01,656,
2012-02,326,
2012-03,424,
2012-04,87,
2012-05,202,
2012-06,278,
2012-07,-165,
2012-08,88,
2012-09,424,
2012-10,564,
2012-11,270,
2012-12,429,
2013-01,67,
2013-02,83,
2013-03,9,
2013-04,-19,
2013-05,-152,
2013-06,-1131,
2013-07,-314,
2013-08,-371,
2013-09,140,
2013-10,479,
2013-11,214,
2013-12,341,
2014-01,332,
2014-02,286,
2014-03,6548,
2014-04,72,
2014-05,16,
2014-06,494,
2014-07,20,
2014-08,401,
2014-09,-81,
2014-10,420,
2014-11,356,
