"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.CA.00122.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.CA.00122.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Canada / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:14,
2009-09,972,
2009-10,905,
2009-11,896,
2009-12,892,
2010-01,881,
2010-02,909,
2010-03,911,
2010-04,927,
2010-05,908,
2010-06,861,
2010-07,869,
2010-08,849,
2010-09,736,
2010-10,720,
2010-11,708,
2010-12,695,
2011-01,678,
2011-02,643,
2011-03,603,
2011-04,591,
2011-05,519,
2011-06,514,
2011-07,501,
2011-08,509,
2011-09,517,
2011-10,514,
2011-11,508,
2011-12,508,
2012-01,502,
2012-02,496,
2012-03,471,
2012-04,492,
2012-05,491,
2012-06,469,
2012-07,437,
2012-08,441,
2012-09,441,
2012-10,452,
2012-11,374,
2012-12,354,
2013-01,305,
2013-02,306,
2013-03,292,
2013-04,288,
2013-05,284,
2013-06,279,
2013-07,542,
2013-08,653,
2013-09,679,
2013-10,830,
2013-11,839,
2013-12,889,
2014-01,930,
2014-02,939,
2014-03,1212,
2014-04,1249,
2014-05,1291,
2014-06,1345,
2014-07,1430,
2014-08,1452,
2014-09,1553,
2014-10,1850,
2014-11,1917,
