"",BBFN1.M.DE.N.1.L.IE.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IE.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Ireland,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:45,
1994-07,0.372,
1994-08,0.384,
1994-09,0.415,
1994-10,0.418,
1994-11,0.450,
1994-12,0.448,
1995-01,0.437,
1995-02,0.442,
1995-03,0.464,
1995-04,0.437,
1995-05,0.450,
1995-06,0.490,
1995-07,0.476,
1995-08,0.426,
1995-09,0.481,
1995-10,0.466,
1995-11,0.507,
1995-12,0.449,
1996-01,0.425,
1996-02,0.441,
1996-03,0.424,
1996-04,0.421,
1996-05,0.426,
1996-06,0.396,
1996-07,0.364,
1996-08,0.366,
1996-09,0.392,
1996-10,0.423,
1996-11,0.452,
1996-12,0.485,
1997-01,0.440,
1997-02,0.437,
1997-03,0.487,
1997-04,0.459,
1997-05,0.485,
1997-06,0.511,
1997-07,0.504,
1997-08,0.510,
1997-09,0.589,
1997-10,0.645,
1997-11,0.637,
1997-12,0.599,
1998-01,0.490,
1998-02,0.496,
1998-03,0.522,
1998-04,0.525,
1998-05,0.610,
1998-06,0.597,
1998-07,0.524,
1998-08,0.483,
1998-09,0.477,
1998-10,0.509,
1998-11,0.520,
1998-12,0.562,
1999-01,0.463,
1999-02,0.525,
1999-03,0.675,
1999-04,0.687,
1999-05,0.665,
1999-06,0.910,
1999-07,0.895,
1999-08,0.703,
1999-09,0.739,
1999-10,0.755,
1999-11,0.847,
1999-12,0.922,
2000-01,0.782,
2000-02,0.784,
2000-03,0.771,
2000-04,0.825,
2000-05,0.812,
2000-06,0.889,
2000-07,0.912,
2000-08,0.855,
2000-09,0.921,
2000-10,0.934,
2000-11,0.942,
2000-12,1.183,
2001-01,1.097,
2001-02,1.009,
2001-03,1.140,
2001-04,1.580,
2001-05,1.406,
2001-06,1.830,
2001-07,1.214,
2001-08,1.125,
2001-09,1.175,
2001-10,1.403,
2001-11,1.308,
2001-12,1.250,
2002-01,1.277,
2002-02,1.183,
2002-03,1.119,
2002-04,1.094,
2002-05,1.064,
2002-06,0.993,
2002-07,1.022,
2002-08,0.991,
2002-09,1.014,
2002-10,1.110,
2002-11,1.043,
2002-12,1.011,
2003-01,1.446,
2003-02,0.939,
2003-03,1.037,
2003-04,1.086,
2003-05,0.995,
2003-06,1.042,
2003-07,1.153,
2003-08,0.991,
2003-09,1.063,
2003-10,1.061,
2003-11,1.066,
2003-12,1.315,
2004-01,1.422,
2004-02,1.048,
2004-03,1.064,
2004-04,0.870,
2004-05,0.882,
2004-06,0.947,
2004-07,0.865,
2004-08,0.840,
2004-09,0.924,
2004-10,0.972,
2004-11,0.989,
2004-12,1.143,
2005-01,1.321,
2005-02,0.921,
2005-03,0.899,
2005-04,1.006,
2005-05,0.899,
2005-06,1.052,
2005-07,1.034,
2005-08,0.943,
2005-09,1.083,
2005-10,1.096,
2005-11,0.982,
2005-12,1.184,
2006-01,1.287,
2006-02,0.979,
2006-03,0.985,
2006-04,0.974,
2006-05,0.956,
2006-06,1.179,
2006-07,1.091,
2006-08,1.041,
2006-09,1.136,
2006-10,1.078,
2006-11,1.049,
2006-12,1.303,
2007-01,1.628,
2007-02,1.336,
2007-03,1.388,
2007-04,1.269,
2007-05,1.166,
2007-06,1.325,
2007-07,1.361,
2007-08,1.261,
2007-09,1.358,
2007-10,1.510,
2007-11,1.489,
2007-12,1.741,
2008-01,1.722,
2008-02,1.668,
2008-03,1.771,
2008-04,1.816,
2008-05,1.857,
2008-06,1.967,
2008-07,2.002,
2008-08,1.844,
2008-09,1.997,
2008-10,2.138,
2008-11,2.100,
2008-12,2.314,
2009-01,2.856,
2009-02,2.538,
2009-03,2.705,
2009-04,2.336,
2009-05,2.395,
2009-06,2.415,
2009-07,2.367,
2009-08,2.149,
2009-09,2.300,
2009-10,2.305,
2009-11,2.305,
2009-12,2.467,
2010-01,3.074,
2010-02,2.718,
2010-03,2.632,
2010-04,2.608,
2010-05,2.395,
2010-06,2.501,
2010-07,2.533,
2010-08,2.409,
2010-09,2.422,
2010-10,2.462,
2010-11,2.499,
2010-12,2.774,
2011-01,2.775,
2011-02,2.659,
2011-03,2.708,
2011-04,2.634,
2011-05,2.632,
2011-06,2.926,
2011-07,3.028,
2011-08,2.870,
2011-09,2.914,
2011-10,3.031,
2011-11,3.249,
2011-12,3.086,
2012-01,2.636,
2012-02,2.434,
2012-03,2.405,
2012-04,2.397,
2012-05,2.410,
2012-06,2.635,
2012-07,2.713,
2012-08,2.572,
2012-09,2.612,
2012-10,2.606,
2012-11,2.807,
2012-12,2.878,
2013-01,2.951,
2013-02,2.777,
2013-03,2.700,
2013-04,2.579,
2013-05,2.683,
2013-06,2.737,
2013-07,2.828,
2013-08,2.654,
2013-09,2.778,
2013-10,2.908,
2013-11,2.901,
2013-12,3.111,
2014-01,2.872,
2014-02,2.859,
2014-03,2.952,
2014-04,3.025,
2014-05,2.924,
2014-06,2.883,
2014-07,2.886,
2014-08,2.851,
2014-09,2.974,
2014-10,2.991,
2014-11,3.059,
2014-12,3.095,
