"",BBK01.OEAJ10H,BBK01.OEAJ10H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:56,
2002-01,0.526,
2002-04,0.531,
2002-07,0.525,
2002-10,0.513,
2003-01,0.502,
2003-04,0.399,
2003-07,0.397,
2003-10,0.392,
2004-01,0.375,
2004-04,0.346,
2004-07,0.333,
2004-10,0.417,
2005-01,0.411,
2005-04,0.390,
2005-07,0.373,
2005-10,0.900,
2006-01,0.349,
2006-04,0.328,
2006-07,0.317,
2006-10,0.302,
2007-01,0.228,
2007-04,0.222,
2007-07,0.210,
2007-10,0.200,
2008-01,0.190,
2008-04,0.180,
2008-07,0.172,
2008-10,0.166,
2009-01,0.161,
2009-04,0.151,
2009-07,0.141,
2009-10,0.129,
2010-01,0.144,
2010-04,0.141,
2010-07,0.134,
2010-10,0.128,
2011-01,0.124,
2011-04,0.058,
2011-07,0.058,
2011-10,0.057,
2012-01,0.057,
2012-04,0.057,
2012-07,0.056,
2012-10,0.054,
2013-01,0.054,
2013-04,0.053,
2013-07,0.052,
2013-10,0.052,
2014-01,0.048,
2014-04,0.048,
2014-07,0.011,
