"",BBFB1.Q.N.DE.US.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:44,
1991-01,-555.752,
1991-04,163.662,
1991-07,-389.762,
1991-10,93.731,
1992-01,-561.927,
1992-04,-418.383,
1992-07,-657.458,
1992-10,-752.738,
1993-01,289.678,
1993-04,-473.894,
1993-07,-212.987,
1993-10,550.161,
1994-01,364.693,
1994-04,125.385,
1994-07,433.436,
1994-10,693.038,
1995-01,36.607,
1995-04,301.114,
1995-07,1048.745,
1995-10,555.850,
1996-01,1048.669,
1996-04,-586.390,
1996-07,-415.014,
1996-10,3468.809,
1997-01,3674.202,
1997-04,-759.091,
1997-07,-808.475,
1997-10,-562.737,
1998-01,7197.655,
1998-04,-707.044,
1998-07,-2533.829,
1998-10,-1389.799,
1999-01,7728.571,
1999-04,7846.343,
1999-07,-10831.639,
1999-10,3839.408,
2000-01,12117.882,
2000-04,3996.041,
2000-07,-13527.728,
2000-10,2988.586,
2001-01,11243.856,
2001-04,8014.712,
2001-07,-5039.034,
2001-10,-2018.660,
2002-01,-10725.493,
2002-04,-316.505,
2002-07,-1679.266,
2002-10,1490.647,
2003-01,2322.429,
2003-04,-659.728,
2003-07,6754.108,
2003-10,-4744.820,
2004-01,896.992,
2004-04,-2190.190,
2004-07,-1582.981,
2004-10,4044.300,
2005-01,-1080.380,
2005-04,-763.349,
2005-07,-2256.587,
2005-10,3137.103,
2006-01,1049.789,
2006-04,1841.228,
2006-07,-1312.398,
2006-10,-1307.824,
2007-01,-55.906,
2007-04,1690.371,
2007-07,1858.158,
2007-10,8369.787,
2008-01,700.842,
2008-04,-942.788,
2008-07,-4572.247,
2008-10,1247.038,
2009-01,-3019.588,
2009-04,-1816.972,
2009-07,580.583,
2009-10,1893.402,
2010-01,1075.785,
2010-04,-506.026,
2010-07,950.645,
2010-10,5161.631,
2011-01,-249.759,
2011-04,201.275,
2011-07,4040.524,
2011-10,4250.960,
2012-01,1413.076,
2012-04,1503.424,
2012-07,2471.715,
2012-10,2422.883,
2013-01,-480.526,
2013-04,3081.235,
2013-07,-266.730,
2013-10,-379.428,
2014-01,1342.739,Provisional value
2014-04,1569.121,Provisional value
2014-07,363.597,Provisional value
2014-10,-826.101,Provisional value
