"",BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._Z.N,BBFB1.M.N.DE.W1.S13.S1.T.D.D62._Z._Z._Z._T._Z.N_FLAGS
"",Current account / Secondary income / General government / Social benefits / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:03,
1991-01,252.498,
1991-02,232.247,
1991-03,240.729,
1991-04,239.309,
1991-05,226.303,
1991-06,258.535,
1991-07,265.492,
1991-08,249.278,
1991-09,251.687,
1991-10,262.952,
1991-11,260.091,
1991-12,230.864,
1992-01,261.768,
1992-02,255.556,
1992-03,256.059,
1992-04,255.285,
1992-05,268.251,
1992-06,241.321,
1992-07,284.177,
1992-08,259.454,
1992-09,252.335,
1992-10,271.360,
1992-11,262.119,
1992-12,274.941,
1993-01,281.475,
1993-02,267.981,
1993-03,266.865,
1993-04,265.363,
1993-05,277.215,
1993-06,268.411,
1993-07,296.538,
1993-08,282.929,
1993-09,298.340,
1993-10,292.660,
1993-11,290.078,
1993-12,296.183,
1994-01,293.138,
1994-02,307.052,
1994-03,294.048,
1994-04,316.511,
1994-05,290.381,
1994-06,311.464,
1994-07,334.575,
1994-08,339.970,
1994-09,301.288,
1994-10,318.749,
1994-11,322.612,
1994-12,314.202,
1995-01,349.930,
1995-02,300.646,
1995-03,326.948,
1995-04,314.125,
1995-05,320.707,
1995-06,318.440,
1995-07,319.696,
1995-08,336.764,
1995-09,312.958,
1995-10,314.347,
1995-11,341.954,
1995-12,315.832,
1996-01,333.908,
1996-02,312.390,
1996-03,321.832,
1996-04,318.269,
1996-05,316.392,
1996-06,327.940,
1996-07,328.876,
1996-08,343.813,
1996-09,331.823,
1996-10,324.510,
1996-11,341.316,
1996-12,315.664,
1997-01,325.947,
1997-02,317.919,
1997-03,277.883,
1997-04,369.319,
1997-05,318.441,
1997-06,343.803,
1997-07,316.700,
1997-08,370.187,
1997-09,325.224,
1997-10,347.300,
1997-11,322.088,
1997-12,344.584,
1998-01,299.936,
1998-02,333.472,
1998-03,336.949,
1998-04,345.819,
1998-05,329.337,
1998-06,325.117,
1998-07,350.617,
1998-08,409.999,
1998-09,362.193,
1998-10,336.992,
1998-11,404.195,
1998-12,356.467,
1999-01,358.089,
1999-02,341.021,
1999-03,351.913,
1999-04,344.016,
1999-05,340.483,
1999-06,370.690,
1999-07,356.360,
1999-08,351.568,
1999-09,344.218,
1999-10,339.189,
1999-11,363.828,
1999-12,384.915,
2000-01,371.511,
2000-02,348.406,
2000-03,359.534,
2000-04,373.815,
2000-05,364.767,
2000-06,387.052,
2000-07,376.672,
2000-08,370.546,
2000-09,389.251,
2000-10,360.900,
2000-11,373.065,
2000-12,381.189,
2001-01,361.871,
2001-02,360.288,
2001-03,362.547,
2001-04,356.682,
2001-05,341.803,
2001-06,369.622,
2001-07,377.442,
2001-08,369.447,
2001-09,368.856,
2001-10,368.028,
2001-11,355.043,
2001-12,377.651,
2002-01,362.507,
2002-02,362.389,
2002-03,368.817,
2002-04,369.681,
2002-05,363.358,
2002-06,373.265,
2002-07,371.711,
