"",BBK01.OEAO03H,BBK01.OEAO03H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:45,
2002-01,14.871,
2002-04,12.252,
2002-07,10.299,
2002-10,10.527,
2003-01,12.539,
2003-04,9.582,
2003-07,9.781,
2003-10,10.622,
2004-01,11.446,
2004-04,9.688,
2004-07,9.521,
2004-10,11.149,
2005-01,14.030,
2005-04,11.746,
2005-07,9.553,
2005-10,11.354,
2006-01,12.125,
2006-04,11.236,
2006-07,11.532,
2006-10,13.619,
2007-01,14.985,
2007-04,12.400,
2007-07,11.937,
2007-10,13.080,
2008-01,13.912,
2008-04,11.755,
2008-07,12.070,
2008-10,13.236,
2009-01,12.312,
2009-04,10.926,
2009-07,10.620,
2009-10,11.109,
2010-01,12.320,
2010-04,10.053,
2010-07,9.166,
2010-10,10.227,
2011-01,10.961,
2011-04,11.110,
2011-07,10.859,
2011-10,10.447,
2012-01,10.991,
2012-04,9.957,
2012-07,9.955,
2012-10,10.351,
2013-01,11.252,
2013-04,9.821,
2013-07,9.476,
2013-10,8.935,
2014-01,9.494,
2014-04,8.473,
2014-07,8.515,
