"",BBK01.CEF0I0,BBK01.CEF0I0_FLAGS
"",Total liabilities                                        debtor: Households (incl. NPISH) creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:01,
1999-01,1394.8,
1999-04,1428.1,
1999-07,1447.3,
1999-10,1469.1,
2000-01,1474.8,
2000-04,1492.7,
2000-07,1504.4,
2000-10,1515.1,
2001-01,1516.1,
2001-04,1521.5,
2001-07,1532.8,
2001-10,1536.7,
2002-01,1533.7,
2002-04,1538.1,
2002-07,1545.9,
2002-10,1553.2,
2003-01,1550.9,
2003-04,1557.3,
2003-07,1566.4,
2003-10,1569.5,
2004-01,1560.0,
2004-04,1565.1,
2004-07,1573.1,
2004-10,1574.9,
2005-01,1562.3,
2005-04,1566.6,
2005-07,1570.7,
2005-10,1568.8,
2006-01,1569.0,
2006-04,1569.7,
2006-07,1574.3,
2006-10,1567.5,
2007-01,1559.9,
2007-04,1557.9,
2007-07,1554.6,
2007-10,1546.9,
2008-01,1537.3,
2008-04,1537.9,
2008-07,1537.1,
2008-10,1532.6,
2009-01,1525.7,
2009-04,1529.7,
2009-07,1533.3,
2009-10,1529.9,
2010-01,1525.3,
2010-04,1530.6,
2010-07,1535.9,
2010-10,1534.9,
2011-01,1532.8,
2011-04,1537.2,
2011-07,1549.0,
2011-10,1552.4,
2012-01,1552.2,
2012-04,1558.4,
2012-07,1564.3,
2012-10,1568.6,
2013-01,1567.2,
2013-04,1571.9,
2013-07,1580.0,
2013-10,1579.2,
2014-01,1580.7,
2014-04,1586.2,
2014-07,1596.2,
