"",BBK01.CEB2Q2,BBK01.CEB2Q2_FLAGS
"",Currency and deposits (consolidated) debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:14,
1991-01,394.6,
1991-04,384.0,
1991-07,375.7,
1991-10,403.6,
1992-01,392.4,
1992-04,377.9,
1992-07,405.4,
1992-10,416.4,
1993-01,421.6,
1993-04,460.0,
1993-07,470.9,
1993-10,509.4,
1994-01,496.0,
1994-04,490.6,
1994-07,493.3,
1994-10,518.0,
1995-01,521.4,
1995-04,545.9,
1995-07,565.2,
1995-10,571.9,
1996-01,596.0,
1996-04,606.7,
1996-07,613.2,
1996-10,627.1,
1997-01,651.6,
1997-04,667.4,
1997-07,665.6,
1997-10,701.3,
1998-01,726.1,
1998-04,740.3,
1998-07,746.4,
1998-10,757.1,
1999-01,804.1,
1999-04,797.7,
1999-07,819.1,
1999-10,817.2,
2000-01,860.9,
2000-04,861.7,
2000-07,888.7,
2000-10,900.9,
2001-01,955.9,
2001-04,968.3,
2001-07,1005.7,
2001-10,1017.8,
2002-01,1024.5,
2002-04,1058.5,
2002-07,1121.0,
2002-10,1137.7,
2003-01,1212.4,
2003-04,1273.4,
2003-07,1258.2,
2003-10,1238.0,
2004-01,1290.0,
2004-04,1310.7,
2004-07,1335.5,
2004-10,1353.0,
2005-01,1461.6,
2005-04,1509.5,
2005-07,1540.8,
2005-10,1482.9,
2006-01,1616.1,
2006-04,1654.6,
2006-07,1657.5,
2006-10,1682.8,
2007-01,1748.9,
2007-04,1827.6,
2007-07,1894.5,
2007-10,1892.8,
2008-01,1976.0,
2008-04,1972.7,
2008-07,2063.9,
2008-10,2034.1,
2009-01,2017.8,
2009-04,1985.6,
2009-07,1904.6,
2009-10,1923.3,
2010-01,1909.7,
2010-04,2007.9,
2010-07,1955.4,
2010-10,1885.4,
2011-01,1855.6,
2011-04,1908.8,
2011-07,2039.3,
2011-10,1946.8,
2012-01,1948.9,
2012-04,1973.8,
2012-07,1982.5,
2012-10,1864.1,
2013-01,1916.4,
2013-04,1948.1,
2013-07,1756.5,
2013-10,1729.4,
2014-01,1807.6,
