"",BBFN1.M.DE.N.1.L.VG.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.VG.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / British Virgin Islands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:51,
1994-07,0.007,
1994-08,0.005,
1994-09,0.005,
1994-10,0.005,
1994-11,0.003,
1994-12,0.005,
1995-01,0.002,
1995-02,0.002,
1995-03,0.001,
1995-04,0.001,
1995-05,0.001,
1995-06,0.001,
1995-07,0.001,
1995-08,0.001,
1995-09,0.001,
1995-10,0.001,
1995-11,0.024,
1995-12,0.018,
1996-01,0.019,
1996-02,0.019,
1996-03,0.021,
1996-04,0.026,
1996-05,0.025,
1996-06,0.026,
1996-07,0.025,
1996-08,0.025,
1996-09,0.030,
1996-10,0.020,
1996-11,0.024,
1996-12,0.025,
1997-01,0.020,
1997-02,0.025,
1997-03,0.035,
1997-04,0.032,
1997-05,0.037,
1997-06,0.028,
1997-07,0.029,
1997-08,0.012,
1997-09,0.024,
1997-10,0.016,
1997-11,0.019,
1997-12,0.018,
1998-01,0.016,
1998-02,0.016,
1998-03,0.021,
1998-04,0.017,
1998-05,0.018,
1998-06,0.017,
1998-07,0.021,
1998-08,0.024,
1998-09,0.018,
1998-10,0.020,
1998-11,0.021,
1998-12,0.017,
1999-01,0.013,
1999-02,0.008,
1999-03,0.015,
1999-04,0.016,
1999-05,0.017,
1999-06,0.018,
1999-07,0.015,
1999-08,0.021,
1999-09,0.024,
1999-10,0.018,
1999-11,0.011,
1999-12,0.033,
2000-01,0.021,
2000-02,0.056,
2000-03,0.020,
2000-04,0.019,
2000-05,0.016,
2000-06,0.013,
2000-07,0.035,
2000-08,0.009,
2000-09,0.008,
2000-10,0.009,
2000-11,0.011,
2000-12,0.013,
2001-01,0.009,
2001-02,0.011,
2001-03,0.013,
2001-04,0.015,
2001-05,0.017,
2001-06,0.024,
2001-07,0.025,
2001-08,0.022,
2001-09,0.020,
2001-10,0.022,
2001-11,0.022,
2001-12,0.030,
2002-01,0.022,
2002-02,0.023,
2002-03,0.014,
2002-04,0.010,
2002-05,0.009,
2002-06,0.011,
2002-07,0.017,
2002-08,0.020,
2002-09,0.023,
2002-10,0.017,
2002-11,0.043,
2002-12,0.053,
2003-01,0.047,
2003-02,0.081,
2003-03,0.081,
2003-04,0.088,
2003-05,0.067,
2003-06,0.072,
2003-07,0.076,
2003-08,0.078,
2003-09,0.044,
2003-10,0.047,
2003-11,0.051,
2003-12,0.044,
2004-01,0.040,
2004-02,0.042,
2004-03,0.041,
2004-04,0.048,
2004-05,0.049,
2004-06,0.070,
2004-07,0.060,
2004-08,0.031,
2004-09,0.041,
2004-10,0.040,
2004-11,0.050,
2004-12,0.072,
2005-01,0.065,
2005-02,0.086,
2005-03,0.099,
2005-04,0.147,
2005-05,0.148,
2005-06,0.151,
2005-07,0.143,
2005-08,0.146,
2005-09,0.142,
2005-10,0.130,
2005-11,0.032,
2005-12,0.039,
2006-01,0.036,
2006-02,0.050,
2006-03,0.031,
2006-04,0.100,
2006-05,0.094,
2006-06,0.080,
2006-07,0.075,
2006-08,0.076,
2006-09,0.027,
2006-10,0.025,
2006-11,0.024,
2006-12,0.030,
2007-01,0.033,
2007-02,0.031,
2007-03,0.033,
2007-04,0.042,
2007-05,0.032,
2007-06,0.035,
2007-07,0.031,
2007-08,0.029,
2007-09,0.031,
2007-10,0.031,
2007-11,0.033,
2007-12,0.043,
2008-01,0.033,
2008-02,0.033,
2008-03,0.032,
2008-04,0.027,
2008-05,0.024,
2008-06,0.035,
2008-07,0.031,
2008-08,0.036,
2008-09,0.038,
2008-10,0.040,
2008-11,0.030,
2008-12,0.023,
2009-01,0.040,
2009-02,0.027,
2009-03,0.029,
2009-04,0.025,
2009-05,0.025,
2009-06,0.026,
2009-07,0.028,
2009-08,0.027,
2009-09,0.028,
2009-10,0.024,
2009-11,0.028,
2009-12,0.029,
2010-01,0.033,
2010-02,0.034,
2010-03,0.029,
2010-04,0.029,
2010-05,0.029,
2010-06,0.032,
2010-07,0.030,
2010-08,0.027,
2010-09,0.027,
2010-10,0.027,
2010-11,0.033,
2010-12,0.110,
2011-01,0.143,
2011-02,0.118,
2011-03,0.122,
2011-04,0.121,
2011-05,0.121,
2011-06,0.121,
2011-07,0.070,
2011-08,0.069,
2011-09,0.074,
2011-10,0.075,
2011-11,0.088,
2011-12,0.121,
2012-01,0.110,
2012-02,0.097,
2012-03,0.095,
2012-04,0.076,
2012-05,0.105,
2012-06,0.109,
2012-07,0.107,
2012-08,0.111,
2012-09,0.124,
2012-10,0.113,
2012-11,0.140,
2012-12,0.136,
2013-01,0.133,
2013-02,0.118,
2013-03,0.130,
2013-04,0.118,
2013-05,0.113,
2013-06,0.132,
2013-07,0.138,
2013-08,0.114,
2013-09,0.131,
2013-10,0.134,
2013-11,0.121,
2013-12,0.117,
2014-01,0.106,
2014-02,0.110,
2014-03,0.124,
2014-04,0.106,
2014-05,0.104,
2014-06,0.104,
2014-07,0.103,
2014-08,0.103,
2014-09,0.104,
2014-10,0.107,
2014-11,0.069,
2014-12,0.065,
