"",BBK01.OEBJ04Q,BBK01.OEBJ04Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:26,
2002-01,0.531,
2002-04,0.482,
2002-07,0.497,
2002-10,0.558,
2003-01,0.500,
2003-04,0.462,
2003-07,0.506,
2003-10,0.483,
2004-01,0.493,
2004-04,0.513,
2004-07,0.489,
2004-10,0.541,
2005-01,0.500,
2005-04,0.430,
2005-07,0.531,
2005-10,0.588,
2006-01,0.580,
2006-04,0.615,
2006-07,0.646,
2006-10,0.702,
2007-01,0.657,
2007-04,0.705,
2007-07,0.630,
2007-10,0.783,
2008-01,0.806,
2008-04,0.783,
2008-07,0.752,
2008-10,0.705,
2009-01,0.579,
2009-04,0.570,
2009-07,0.560,
2009-10,0.498,
2010-01,0.465,
2010-04,0.425,
2010-07,0.448,
2010-10,0.423,
2011-01,0.427,
2011-04,0.387,
2011-07,0.381,
2011-10,0.460,
2012-01,0.476,
2012-04,0.421,
2012-07,0.503,
2012-10,0.454,
2013-01,0.368,
2013-04,0.357,
2013-07,0.319,
2013-10,0.358,
2014-01,0.467,
2014-04,0.407,
2014-07,0.342,
