"",BBK01.OEBJ07L,BBK01.OEBJ07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:45,
2002-01,0.009,
2002-04,0.011,
2002-07,0.010,
2002-10,0.012,
2003-01,0.011,
2003-04,0.012,
2003-07,0.013,
2003-10,0.021,
2004-01,0.029,
2004-04,0.020,
2004-07,0.014,
2004-10,0.017,
2005-01,0.024,
2005-04,0.057,
2005-07,0.038,
2005-10,0.032,
2006-01,0.036,
2006-04,0.018,
2006-07,0.020,
2006-10,0.018,
2007-01,0.023,
2007-04,0.020,
2007-07,0.018,
2007-10,0.025,
2008-01,0.031,
2008-04,0.053,
2008-07,0.057,
2008-10,0.063,
2009-01,0.073,
2009-04,0.081,
2009-07,0.097,
2009-10,0.086,
2010-01,0.100,
2010-04,0.105,
2010-07,0.114,
2010-10,0.118,
2011-01,0.125,
2011-04,0.128,
2011-07,0.131,
2011-10,0.011,
2012-01,0.030,
2012-04,0.031,
2012-07,0.037,
2012-10,0.040,
2013-01,0.030,
2013-04,0.031,
2013-07,0.033,
2013-10,0.028,
2014-01,0.027,
2014-04,0.024,
2014-07,0.026,
