"",BBDE1.M.DE.Y.AEB1.A2R290050.F.V.I10.A,BBDE1.M.DE.Y.AEB1.A2R290050.F.V.I10.A_FLAGS
"","Orders received from the domestic market / At current prices, flows / Germany / 29+30 Manufacture of motor vehicles, trailers, semi-trailers and of other transport equipment / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:46,
1991-01,77.7,
1991-02,69.2,
1991-03,76.3,
1991-04,68.6,
1991-05,71.6,
1991-06,71.1,
1991-07,68.8,
1991-08,73.1,
1991-09,72.3,
1991-10,71.9,
1991-11,76.8,
1991-12,73.4,
1992-01,77.1,
1992-02,76.0,
1992-03,72.5,
1992-04,67.1,
1992-05,62.7,
1992-06,63.4,
1992-07,59.8,
1992-08,60.9,
1992-09,64.8,
1992-10,62.9,
1992-11,58.9,
1992-12,66.4,
1993-01,61.3,
1993-02,51.2,
1993-03,52.0,
1993-04,53.5,
1993-05,57.5,
1993-06,54.8,
1993-07,57.5,
1993-08,56.7,
1993-09,60.7,
1993-10,60.6,
1993-11,58.9,
1993-12,64.8,
1994-01,59.7,
1994-02,67.3,
1994-03,64.1,
1994-04,65.3,
1994-05,61.5,
1994-06,63.1,
1994-07,65.4,
1994-08,62.2,
1994-09,62.5,
1994-10,63.9,
1994-11,66.9,
1994-12,67.1,
1995-01,63.8,
1995-02,63.2,
1995-03,63.2,
1995-04,65.8,
1995-05,80.5,
1995-06,64.0,
1995-07,79.4,
1995-08,64.4,
1995-09,69.0,
1995-10,68.7,
1995-11,83.0,
1995-12,70.3,
1996-01,67.3,
1996-02,63.0,
1996-03,70.5,
1996-04,66.9,
1996-05,66.7,
1996-06,78.8,
1996-07,66.4,
1996-08,71.1,
1996-09,67.3,
1996-10,68.5,
1996-11,65.9,
1996-12,65.8,
1997-01,67.2,
1997-02,66.3,
1997-03,72.8,
1997-04,71.3,
1997-05,76.4,
1997-06,72.0,
1997-07,71.4,
1997-08,71.5,
1997-09,75.9,
1997-10,74.1,
1997-11,74.8,
1997-12,75.1,
1998-01,83.3,
1998-02,80.4,
1998-03,80.0,
1998-04,77.9,
1998-05,77.4,
1998-06,76.6,
1998-07,88.7,
1998-08,76.9,
1998-09,90.1,
1998-10,80.0,
1998-11,81.1,
1998-12,76.3,
1999-01,83.9,
1999-02,77.9,
1999-03,76.4,
1999-04,76.6,
1999-05,78.2,
1999-06,80.1,
1999-07,78.9,
1999-08,82.7,
1999-09,79.7,
1999-10,88.5,
1999-11,80.3,
1999-12,81.8,
2000-01,79.0,
2000-02,87.2,
2000-03,84.9,
2000-04,90.2,
2000-05,87.1,
2000-06,100.5,
2000-07,87.3,
2000-08,85.0,
2000-09,83.8,
2000-10,83.4,
2000-11,90.7,
2000-12,86.3,
2001-01,86.1,
2001-02,86.6,
2001-03,90.6,
2001-04,86.9,
2001-05,86.7,
2001-06,88.4,
2001-07,86.0,
2001-08,93.2,
2001-09,84.5,
2001-10,83.8,
2001-11,84.8,
2001-12,89.2,
2002-01,86.9,
2002-02,79.6,
2002-03,83.2,
2002-04,85.3,
2002-05,82.7,
2002-06,86.6,
2002-07,87.2,
2002-08,89.5,
2002-09,85.6,
2002-10,87.3,
2002-11,84.5,
2002-12,87.2,
2003-01,90.1,
2003-02,94.9,
2003-03,84.1,
2003-04,85.0,
2003-05,88.8,
2003-06,91.0,
2003-07,86.0,
2003-08,83.8,
2003-09,90.8,
2003-10,90.7,
2003-11,88.4,
2003-12,90.8,
2004-01,88.8,
2004-02,97.2,
2004-03,93.0,
2004-04,93.3,
2004-05,89.6,
2004-06,93.0,
2004-07,92.9,
2004-08,93.3,
2004-09,93.8,
2004-10,101.4,
2004-11,94.2,
2004-12,108.1,
2005-01,95.3,
2005-02,92.9,
2005-03,98.0,
2005-04,97.8,
2005-05,95.3,
2005-06,104.5,
2005-07,98.8,
2005-08,99.3,
2005-09,98.5,
2005-10,99.8,
2005-11,99.2,
2005-12,96.9,
2006-01,97.0,
2006-02,97.7,
2006-03,101.1,
2006-04,97.3,
2006-05,102.4,
2006-06,98.3,
2006-07,101.0,
2006-08,108.0,
2006-09,119.6,
2006-10,101.4,
2006-11,99.2,
2006-12,99.4,
2007-01,102.0,
2007-02,105.6,
2007-03,106.7,
2007-04,106.1,
2007-05,108.3,
2007-06,118.5,
2007-07,108.2,
2007-08,103.8,
2007-09,104.9,
2007-10,112.3,
2007-11,109.5,
2007-12,114.5,
2008-01,103.3,
2008-02,103.1,
2008-03,100.1,
2008-04,105.6,
2008-05,98.5,
2008-06,96.3,
2008-07,91.4,
2008-08,95.6,
2008-09,91.7,
2008-10,84.1,
2008-11,75.6,
2008-12,75.7,
2009-01,89.4,
2009-02,85.8,
2009-03,91.5,
2009-04,86.7,
2009-05,98.0,
2009-06,89.9,
2009-07,117.7,
2009-08,99.7,
2009-09,91.5,
2009-10,87.5,
2009-11,87.2,
2009-12,89.3,
2010-01,106.8,
2010-02,85.7,
2010-03,96.8,
2010-04,98.8,
2010-05,97.7,
2010-06,96.9,
2010-07,96.6,
2010-08,99.8,
2010-09,99.3,
2010-10,104.0,
2010-11,108.7,
2010-12,106.4,
2011-01,105.7,
2011-02,108.9,
2011-03,101.2,
2011-04,100.9,
2011-05,156.0,
2011-06,105.0,
2011-07,103.7,
2011-08,103.3,
2011-09,103.7,
2011-10,102.5,
2011-11,105.9,
2011-12,111.0,
2012-01,105.6,
2012-02,103.1,
2012-03,109.7,
2012-04,106.8,
2012-05,101.8,
2012-06,100.9,
2012-07,102.6,
2012-08,97.5,
2012-09,100.5,
2012-10,99.3,
2012-11,100.4,
2012-12,99.2,
2013-01,99.9,
2013-02,103.3,
2013-03,104.8,
2013-04,103.3,
2013-05,98.2,
2013-06,108.3,
2013-07,109.3,
2013-08,115.8,
2013-09,107.3,
2013-10,105.3,
2013-11,108.1,
2013-12,108.1,
2014-01,107.3,
2014-02,107.2,
2014-03,112.8,
2014-04,109.1,
2014-05,110.7,
2014-06,103.9,
2014-07,110.9,
2014-08,101.8,
2014-09,100.3,
2014-10,123.6,
2014-11,110.0,
2014-12,114.3,Provisional value
